Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,CTkl,CAtt,CTkl%,CLost,Blocks,BSh,BPass,BInt,BTklInt,BClr,BErr
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,45,18,16,22,7,15,46,32.61,31,43,3,40,5,50,6,1
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,6,5,2,2,2,2,3,66.67,1,2,1,1,0,6,2,0
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,1,1,0,1,0,0,0,#DIV/0!,0,4,2,2,0,1,5,0
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,1,1,0,0
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,82,50,47,33,2,39,52,75,13,65,27,38,64,146,116,1
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,64,38,22,32,10,31,67,46.27,36,30,1,29,28,92,15,0
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,46,26,18,23,5,29,52,55.77,23,38,9,29,36,82,26,0
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26,92,52,59,30,3,39,92,42.39,53,47,8,39,34,126,39,0
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,10,6,6,3,1,7,16,43.75,9,7,1,6,5,15,17,0
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes","Ligue 1,Ligue 1",19,2003,10.2,5,3,0,3,2,1,6,16.67,5,7,1,6,3,8,2,0
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,12,9,9,2,1,7,16,43.75,9,8,2,6,8,20,24,0
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,33,23,13,9,11,14,45,31.11,31,18,1,17,22,55,23,0
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,17,10,4,8,5,3,16,18.75,13,10,4,6,3,20,14,0
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,1,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,33,19,22,7,4,20,27,74.07,7,25,18,7,41,74,85,2
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,57,36,34,17,6,30,42,71.43,12,16,5,11,23,80,36,0
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,17,13,7,8,2,7,12,58.33,5,13,4,9,4,21,22,0
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24,89,46,44,35,10,50,77,64.94,27,48,8,40,35,124,29,0
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,14,7,5,3,6,7,17,41.18,10,12,0,12,4,18,5,0
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,30,13,22,6,2,16,23,69.57,7,20,15,5,26,56,140,1
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,3,3,2,1,0,3,4,75,1,3,1,2,3,6,3,0
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,16,11,6,6,4,8,30,26.67,22,18,1,17,7,23,3,0
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,18,10,4,6,8,5,17,29.41,12,28,2,26,6,24,7,0
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,6,3,2,4,0,2,2,100,0,2,0,2,1,7,1,0
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,12,6,3,6,3,2,18,11.11,16,14,2,12,7,19,9,0
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,7,3,4,1,2,2,10,20,8,5,1,4,1,8,6,0
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,71,49,53,16,2,42,65,64.62,23,30,14,16,32,103,107,3
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,2,0
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,42,25,18,15,9,17,33,51.52,16,14,5,9,27,69,24,0
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,1,0,0,1,0,0,0,#DIV/0!,0,1,1,0,0,1,0,0
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21,27,15,13,11,3,15,25,60,10,16,4,12,13,40,15,0
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,71,38,22,30,19,25,59,42.37,34,39,5,34,10,81,6,0
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,27,18,18,8,1,13,20,65,7,26,24,2,18,45,79,2
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,19,9,7,7,5,8,22,36.36,14,13,1,12,18,37,28,1
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,20,13,10,7,3,9,23,39.13,14,18,5,13,8,28,7,0
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,34,20,10,20,4,12,31,38.71,19,25,0,25,24,58,15,0
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,51,36,33,17,1,16,28,57.14,12,26,14,12,31,82,150,0
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,17,13,5,8,4,9,15,60,6,12,2,10,11,28,26,0
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12,33,20,25,7,1,9,15,60,6,3,0,3,9,42,28,0
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,55,34,36,17,2,33,47,70.21,14,28,16,12,25,80,52,3
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,11,8,5,4,2,9,16,56.25,7,6,5,1,7,18,22,0
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,11,9,2,8,1,4,18,22.22,14,11,3,8,3,14,15,0
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,36,25,15,18,3,23,36,63.89,13,27,9,18,16,52,33,0
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,26,12,15,9,2,11,15,73.33,4,20,10,10,20,46,48,0
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,27,16,19,6,2,12,22,54.55,10,22,6,16,14,41,41,0
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,1,1,0,0,1,0,0,#DIV/0!,0,0,0,0,0,1,0,0
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,7,4,4,3,0,2,8,25,6,2,0,2,3,10,2,0
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5,16,9,13,3,0,13,20,65,7,2,2,0,12,28,17,1
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,53,37,25,19,9,23,42,54.76,19,35,4,31,13,66,27,0
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,75,44,45,27,3,32,45,71.11,13,45,16,29,24,99,70,1
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,15,11,8,4,3,9,15,60,6,18,9,9,14,29,37,1
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,3,2,0,2,1,1,2,50,1,1,0,1,2,5,2,0
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,3,2,1,0,2,0,1,0,1,0,0,0,2,5,13,0
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,25,18,13,11,1,12,28,42.86,16,12,5,7,11,36,23,0
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,49,29,18,20,11,23,72,31.94,49,35,6,29,9,58,4,0
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,25,17,17,6,2,14,18,77.78,4,17,13,4,14,39,111,0
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,43,24,20,21,2,14,23,60.87,9,15,3,12,21,64,13,2
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,10,5,2,7,1,6,22,27.27,16,14,5,9,1,11,11,0
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,43,31,24,18,1,19,54,35.19,35,23,8,15,19,62,37,0
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,35,20,21,14,0,28,40,70,12,23,16,7,26,61,85,0
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,32,21,19,9,4,17,37,45.95,20,18,3,15,5,37,12,1
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,1,1
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,18,10,7,5,6,5,34,14.71,29,19,1,18,4,22,18,0
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,57,40,32,16,9,42,79,53.16,37,25,7,18,43,100,41,2
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,27,13,14,13,0,22,48,45.83,26,15,5,10,3,30,11,0
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,13,10,6,5,2,4,10,40,6,9,0,9,2,15,2,0
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2,8,5,3,4,1,3,9,33.33,6,3,0,3,1,9,3,0
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37,0,0,0,0,0,0,3,0,3,3,0,3,0,0,20,0
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,39,24,24,11,4,19,62,30.65,43,24,2,22,24,63,26,1
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,66,42,23,32,11,26,57,45.61,31,26,0,26,20,86,16,1
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,46,30,16,19,11,18,42,42.86,24,25,2,23,10,56,17,0
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13,15,10,10,5,0,9,12,75,3,14,10,4,11,26,32,0
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,35,23,20,11,4,20,33,60.61,13,17,5,12,35,70,44,1
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,5,4,2,3,0,2,6,33.33,4,0,0,0,3,8,4,0
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,1,1,0,1,0,0,0,#DIV/0!,0,0,0,0,0,1,0,0
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,38,30,24,9,5,23,42,54.76,19,15,5,10,15,53,35,0
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,26,16,3,13,10,9,29,31.03,20,13,0,13,2,28,6,0
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,6,3,0,5,1,1,4,25,3,5,1,4,3,9,3,0
89,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,34,23,26,7,1,24,31,77.42,7,23,13,10,48,82,101,0
90,Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,10,7,6,3,1,7,11,63.64,4,7,3,4,10,20,20,0
91,Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3,15,9,7,8,0,5,8,62.5,3,2,0,2,5,20,2,0
92,Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,19,8,13,5,1,12,14,85.71,2,24,17,7,8,27,71,0
93,Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,29,19,14,8,7,14,22,63.64,8,13,1,12,5,34,5,0
94,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,3,2,3,0,0,1,3,33.33,2,3,0,3,4,7,7,0
95,Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,1,0,1,0,0,1,4,25,3,1,0,1,0,1,2,1
96,Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,54,32,33,12,9,24,31,77.42,7,34,12,22,22,76,87,1
97,Bruno Amione,ARG,DF,"Hellas Verona,Sampdoria","Serie A,Serie A",20,2002,23.8,51,34,37,14,0,20,45,44.44,25,27,11,16,25,76,66,1
99,Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,15,6,5,8,2,9,20,45,11,12,1,11,6,21,10,2
100,Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
101,Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,66,37,33,28,5,17,41,41.46,24,48,23,25,36,102,98,0
102,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,39,24,15,17,7,16,29,55.17,13,23,5,18,21,60,18,2
