Rk,Player,Position
1,Brenden Aaronson,Attacking Midfield
2,Paxten Aaronson,Attacking Midfield
3,James Abankwah,Centre-Back
4,George Abbott,Defensive Midfield
5,Yunis Abdelhamid,Centre-Back
6,Himad Abdelli,Attacking Midfield
7,Salis Abdul Samed,Defensive Midfield
8,Laurent Abergel,Defensive Midfield
9,Oliver Abildgaard,Defensive Midfield
10,Matthis Abline,Centre-Forward
12,Abner,Left-Back
13,Zakaria Aboukhlal,Right Winger
14,Tammy Abraham,Centre-Forward
15,Christian Acella,Central Midfield
16,Francesco Acerbi,Centre-Back
17,Álvaro Aceves,Goalkeeper
18,Mohamed Achi,Central Midfield
19,Marcos Acuña,Left-Back
20,Che Adams,Centre-Forward
21,Tyler Adams,Defensive Midfield
22,Sargis Adamyan,Centre-Forward
23,Tosin Adarabioyo,Centre-Back
24,Martin Adeline,Central Midfield
25,Karim Adeyemi,Centre-Forward
26,Amine Adli,Right Winger
27,Yacine Adli,Attacking Midfield
28,Michel Aebischer,Central Midfield
29,Felix Afena-Gyan,Centre-Forward
30,Emmanuel Agbadou,Centre-Back
31,Julen Agirrezabala,Goalkeeper
32,Lucien Agoume,Defensive Midfield
33,Felix Agu,Right-Back
34,Álvaro Aguado,Central Midfield
35,Kevin Agudelo,Right Winger
36,Nayef Aguerd,Centre-Back
37,Ruben Aguilar,Right-Back
38,Naouirou Ahamada,Defensive Midfield
40,Amar Ahmed,Left Winger
41,Jean-Eudes Aholou,Defensive Midfield
42,Joseph Aidoo,Centre-Back
43,Ola Aina,Right-Back
44,Rayan Aït Nouri,Left-Back
45,Emanuel Aiwum,Centre-Back
46,Kristoffer Ajer,Centre-Back
47,Ludovic Ajorque,Centre-Forward
49,Manuel Akanji,Centre-Back
50,Nathan Aké,Centre-Back
51,Sergio Akieme,Left-Back
52,Babatunde Akinsola,"['Series([], Name: TmPos, dtype: object)']"
53,Maghnes Akliouche,Attacking Midfield
54,Paul Akouokou,Defensive Midfield
55,Jean-Daniel Akpa-Akpro,Central Midfield
56,Kevin Akpoguma,Centre-Back
57,David Alaba,Centre-Back
58,Ángel Alarcón,Left Winger
59,Tomás Alarcón,Defensive Midfield
60,Lucas Alario,Centre-Forward
61,Jordi Alba,Left-Back
62,Luis Alberto,Central Midfield
63,Raúl Albiol,Centre-Back
64,Marc Albrighton,Right Winger
65,Thiago Alcántara,Central Midfield
66,Carlos Alcaraz,Central Midfield
67,Rubén Alcaraz,Central Midfield
68,Omar Alderete,Centre-Back
69,Iván Alejo,Right Winger
70,Doayan Alemdar,Goalkeeper
71,Carles Aleñá,Central Midfield
72,Trent Alexander-Arnold,Right-Back
73,Alejandro Alfaro,Central Midfield
74,Ángel Algobia,Central Midfield
75,Mohamed Ali Cho,Centre-Forward
76,Faride Alidou,Left Winger
77,Alisson,Goalkeeper
78,Jim Allevinah,Left Winger
79,Dele Alli,Attacking Midfield
80,Domingos André Ribeiro Almeida,Central Midfield
81,Miguel Almirón,Right Winger
82,Marcos Alonso,Left-Back
83,Mickaël Alphonse,Right-Back
84,Éder Álvarez Balanta,Defensive Midfield
85,Carlos Álvarez,Attacking Midfield
86,Gastón Álvarez,Centre-Back
87,Julián Álvarez,Centre-Forward
88,Agustín Álvarez Martínez,Centre-Forward
89,Yeray Álvarez,Centre-Back
90,Ibrahim Amadou,Defensive Midfield
91,Selim Amallah,Attacking Midfield
92,Daniel Amartey,Centre-Back
93,Amath,Left Winger
94,Jordan Amavi,Left-Back
95,Lukáš Ambros,Attacking Midfield
96,Kelvin Amian,Right-Back
97,Bruno Amione,Centre-Back
99,Nadiem Amiri,Central Midfield
100,Samuel Amo-Ameyaw,Right Winger
101,Ethan Ampadu,Centre-Back
102,Sofyan Amrabat,Defensive Midfield
103,Ayoub Amraoui,Left-Back
104,Joachim Andersen,Centre-Back
105,Elliot Anderson,Attacking Midfield
106,Felipe Anderson,Right Winger
107,Benjamin André,Defensive Midfield
109,Komnen Andri?,Centre-Forward
110,Robert Andrich,Central Midfield
111,Angeliño,Left-Back
112,Fabrizio Angileri,Left-Back
113,Jaidon Anthony,Left Winger
114,Janis Antiste,Centre-Forward
115,Waldemar Anton,Centre-Back
116,Josep Antoni Gayá,Centre-Back
117,José Antonio,Left Winger
118,Marcos Antônio,Central Midfield
119,Michail Antonio,Centre-Forward
120,Antony,Right Winger
121,Valentin Antov,Centre-Back
122,Christopher Antwi-Adjei,Left Winger
123,Anuar,Central Midfield
124,Houssem Aouar,Central Midfield
125,Adil Aouchiche,Attacking Midfield
126,Dennis Appiah,Right-Back
127,Stredair Appuah,Left Winger
128,Mauro Arambarri,Central Midfield
129,Charles Aránguiz,Central Midfield
130,Ronald Araújo,Centre-Back
131,Cameron Archer,Centre-Forward
132,Taïryk Arconte,Right Winger
133,Alphonse Areola,Goalkeeper
363,Ismaëlben Boura,Left-Back
393,Joe Bryan,Left-Back
394,Lee Buchanan,Left-Back
395,Ante Budimir,Centre-Forward
