Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,TOAtt,TOSucc,TOSuccp,TOTkld,TOTkldp,Carries,CaTotDist,CaPrgDist,CaPrgC,CaFTC,CaCPA,CaMis,CaDis,Rec,PrgR
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,1143,12,116,495,554,72,1143,100,34,34,48,48,686,3646,1532,43,34,13,71,82,767,151
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,99,2,6,41,53,17,99,6,3,50,3,50,55,314,143,8,2,2,5,2,65,15
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,39,8,26,13,0,0,39,1,1,100,0,0,18,48,19,0,0,0,1,1,21,0
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0,2,1,1,1,0,0,2,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,1,0
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,2459,241,1088,1275,123,39,2459,37,21,56.76,14,37.84,1723,10871,6123,40,21,3,27,23,1499,10
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,1516,26,237,914,409,23,1516,76,43,56.58,28,36.84,1184,6861,3294,58,60,7,36,20,1066,111
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,2224,66,404,1502,340,16,2224,49,29,59.18,13,26.53,1849,9645,3457,33,56,3,39,32,1705,44
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26,1779,76,581,1069,151,4,1779,41,23,56.1,14,34.15,1384,6069,2597,13,29,0,29,19,1257,14
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,257,15,82,137,40,13,257,1,1,100,0,0,99,401,156,2,3,0,6,1,116,8
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes","Ligue 1,Ligue 1",19,2003,10.2,247,4,12,116,125,56,245,23,12,52.17,11,47.83,168,1092,424,18,6,9,53,18,182,60
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,425,25,128,189,113,11,425,10,3,30,7,70,204,858,469,8,7,4,10,4,231,25
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,1163,32,156,456,571,151,1163,109,42,38.53,57,52.29,901,6003,2662,100,48,44,83,36,843,276
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,786,19,50,391,355,125,786,68,22,32.35,37,54.41,421,2154,856,35,20,16,62,31,621,141
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,11,0,1,9,1,0,11,0,0,#DIV/0!,0,#DIV/0!,7,19,7,0,0,0,1,0,8,0
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,1890,226,858,880,167,27,1890,12,7,58.33,4,33.33,1041,5108,2867,39,33,2,13,7,1252,32
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,8,6,8,0,0,0,8,0,0,#DIV/0!,0,#DIV/0!,8,42,34,0,0,0,0,0,2,0
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,25,0,4,11,10,0,25,1,0,0,1,100,21,134,75,2,2,0,0,1,19,1
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,1523,69,406,670,467,26,1523,54,26,48.15,23,42.59,823,4070,2178,49,43,5,29,20,903,94
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,717,29,66,286,377,103,717,33,16,48.48,13,39.39,405,1613,469,17,11,9,66,28,558,115
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24,1628,44,376,1010,254,5,1628,22,7,31.82,12,54.55,818,3342,1555,19,21,0,28,18,919,20
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,310,6,36,134,147,48,310,27,6,22.22,16,59.26,166,924,352,12,8,5,28,16,191,58
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,1544,231,776,732,46,19,1544,7,5,71.43,2,28.57,834,4470,2733,16,12,1,4,4,975,3
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,59,4,22,22,16,1,59,3,1,33.33,2,66.67,31,173,83,1,0,0,4,2,27,1
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,676,11,68,240,384,65,675,94,34,36.17,48,51.06,455,3163,1489,49,32,21,43,26,478,131
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,786,9,74,394,327,67,786,58,26,44.83,22,37.93,467,2610,1368,46,29,15,52,18,598,137
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,97,1,14,45,42,2,97,6,4,66.67,2,33.33,55,349,171,7,5,0,3,5,67,8
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,791,14,147,400,246,28,791,13,6,46.15,7,53.85,505,1992,841,14,12,4,30,17,618,85
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,318,7,40,129,156,28,318,25,7,28,12,48,202,1160,463,22,13,3,34,21,217,54
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,1798,213,851,877,87,21,1798,14,8,57.14,6,42.86,1287,7671,3866,15,19,2,23,13,1087,8
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,253,203,249,4,0,0,253,0,0,#DIV/0!,0,#DIV/0!,150,804,551,0,0,0,0,0,105,0
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,893,45,276,480,143,13,893,13,5,38.46,5,38.46,646,3160,1227,9,10,0,9,11,590,10
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,33,1,7,13,14,2,33,3,0,0,2,66.67,19,165,24,0,2,0,1,2,19,2
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21,1292,36,255,742,315,18,1292,31,13,41.94,9,29.03,833,5476,2508,29,43,3,24,9,908,50
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,1084,11,168,500,457,54,1084,109,50,45.87,50,45.87,662,4963,2740,81,71,19,59,55,699,100
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,949,161,563,358,35,23,949,6,4,66.67,0,0,523,2127,1137,2,1,0,8,7,564,4
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,975,44,210,463,305,24,975,14,7,50,6,42.86,637,3256,1501,29,23,3,14,4,573,78
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,737,18,151,422,176,26,737,46,21,45.65,21,45.65,440,3167,1581,44,29,7,39,12,492,65
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,18,0,3,8,7,0,18,1,1,100,0,0,12,74,21,0,1,0,4,2,12,2
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,799,26,131,483,194,27,799,34,14,41.18,14,41.18,538,2906,1220,25,18,9,34,15,477,37
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,2082,301,1114,938,46,15,2082,13,8,61.54,2,15.38,1306,6192,3226,15,6,0,12,9,1321,2
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,679,20,146,294,250,13,679,49,23,46.94,20,40.82,361,2268,1112,35,26,4,15,8,390,43
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12,740,40,240,279,233,28,740,50,28,56,18,36,395,2260,1244,30,13,10,28,12,454,76
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,997,105,506,452,51,5,997,10,3,30,5,50,500,3147,1569,19,11,0,6,5,521,7
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,412,45,184,167,64,9,412,7,1,14.29,4,57.14,213,1123,613,10,5,0,3,8,231,12
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,891,16,66,463,372,126,890,17,10,58.82,6,35.29,478,1890,469,7,18,2,65,23,677,140
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,2231,121,815,1248,176,34,2231,12,6,50,3,25,1544,8443,5039,24,40,1,12,3,1734,17
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,1959,86,615,1097,256,32,1959,5,3,60,1,20,1223,5455,3314,25,19,4,16,0,1492,30
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,1283,78,434,563,307,35,1283,51,27,52.94,18,35.29,660,4200,2232,60,34,11,29,25,710,84
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,4,0,1,2,1,0,4,0,0,#DIV/0!,0,#DIV/0!,4,29,14,1,1,0,2,1,5,3
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,210,4,23,85,105,17,210,13,6,46.15,7,53.85,172,897,351,9,5,2,8,7,161,42
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5,233,33,102,117,16,1,233,5,3,60,2,40,116,369,122,1,2,0,5,0,136,1
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,630,24,163,338,143,24,630,55,31,56.36,19,34.55,325,1788,748,19,23,8,25,15,351,37
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,1306,143,613,609,93,16,1306,22,7,31.82,13,59.09,691,3422,1537,17,13,3,16,7,742,23
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,1293,137,531,530,240,22,1293,4,3,75,1,25,779,3566,2070,16,24,2,7,5,938,60
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,0,0,0,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,113,3,20,68,25,1,113,0,0,#DIV/0!,0,#DIV/0!,62,267,81,2,0,0,3,4,74,6
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,131,13,22,51,61,24,131,8,5,62.5,3,37.5,53,234,116,2,6,1,4,8,91,17
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,1558,34,299,765,506,39,1558,8,4,50,4,50,957,3881,2079,42,27,6,7,7,1121,157
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,2217,29,269,1285,681,43,2215,41,19,46.34,20,48.78,1244,5632,3214,73,76,10,33,31,1632,94
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,1687,223,856,796,44,9,1687,7,4,57.14,3,42.86,1047,6928,4616,12,10,0,11,5,1152,3
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,173,6,33,61,79,5,173,2,2,100,0,0,83,391,147,4,4,0,4,2,116,18
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,1251,45,272,796,188,8,1251,30,21,70,4,13.33,718,3639,1721,13,21,0,13,22,910,24
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,430,14,73,234,130,23,430,28,13,46.43,11,39.29,258,1292,675,20,17,2,30,24,296,32
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,1286,64,309,768,224,22,1283,24,12,50,10,41.67,715,3713,1587,30,27,3,34,31,775,20
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,1114,118,458,591,81,25,1114,22,17,77.27,5,22.73,529,2843,1937,28,15,2,15,8,533,8
