,Player,Nation,Squad,MP,Min,Gls,Ast,xG,NPxG+xAG,xAG,Saves,CS,CStp,SwOPA,CrdY,CrdR,Off,ADWon,SSh,SSoT,SG_SoT,TCmp,LCmpp,LFTP,LCrsPA,LPrgP,SCA,GCA,BInt,BTklInt,BClr,CTkl,TOSucc
0,Brenden Aaronson,USA,Leeds United,36,2372,1,3,3.9,8.1,4.2,0.0,0.0,0.0,0.0,2,0,6,8,41,9,0.1111111111111111,592,38.46153846153847,47,4,86,95,7,5,50,6,15,34
1,Paxten Aaronson,USA,Eint Frankfurt,7,173,0,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1,0,1,1,4,1,0.0,51,16.666666666666664,3,0,6,8,2,0,6,2,2,3
2,James Abankwah,IRL,Udinese,2,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0.0,23,40.0,0,0,0,0,0,0,1,5,0,1
3,George Abbott,ENG,Tottenham,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,0,0,0,0,0,1,1,0,0,0
4,Yunis Abdelhamid,MAR,Reims,37,3330,1,2,2.4,3.4,1.0,0.0,0.0,0.0,0.0,6,0,2,93,32,3,0.33,1679,55.55555555555556,155,0,215,43,7,64,146,116,39,21
5,Himad Abdelli,ALG,Angers,30,2137,2,2,1.4,4.3,2.9,0.0,0.0,0.0,0.0,3,0,1,18,24,7,0.29,1043,72.18934911242604,124,8,151,69,3,28,92,15,31,43
6,Salis Abdul Samed,GHA,Lens,33,2894,1,1,0.9,2.5,1.6,0.0,0.0,0.0,0.0,6,1,0,14,13,4,0.25,1819,78.63247863247864,182,3,165,50,1,36,82,26,29,29
7,Laurent Abergel,FRA,Lorient,29,2342,0,1,0.5,1.8,1.3,0.0,0.0,0.0,0.0,7,1,0,8,13,2,0.0,1308,69.375,144,0,143,33,1,34,126,39,39,23
8,Oliver Abildgaard,DEN,Hellas Verona,13,592,0,0,0.1,0.6,0.4,0.0,0.0,0.0,0.0,2,0,0,50,3,2,0.0,115,48.14814814814815,17,2,15,9,0,5,15,17,7,1
9,Matthis Abline,FRA,"Auxerre,Rennes",30,913,3,1,4.4,3.7,1.0,0.0,0.0,0.0,0.0,1,0,6,13,30,10,0.63,76,50.0,8,1,10,22,5,3,8,1,1,12
10,Abner,BRA,Betis,13,607,0,0,1.7,1.8,0.1,0.0,0.0,0.0,0.0,2,0,0,9,5,1,0.0,252,38.095238095238095,18,1,16,8,1,8,20,24,7,3
11,Zakaria Aboukhlal,MAR,Toulouse,37,2473,10,5,11.5,14.7,3.3,0.0,0.0,0.0,0.0,4,0,20,12,83,30,0.33,576,41.37931034482759,30,4,72,80,8,22,55,23,14,42
12,Tammy Abraham,ENG,Roma,38,2189,8,3,10.8,14.5,3.6,0.0,0.0,0.0,0.0,2,0,11,80,62,28,0.29,342,66.66666666666666,18,2,54,70,9,3,20,14,3,22
13,Christian Acella,ITA,Cremonese,1,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9,0.0,0,0,0,0,0,0,1,0,0,0
14,Francesco Acerbi,ITA,Inter,31,2425,0,2,1.0,2.1,1.1,0.0,0.0,0.0,0.0,4,0,2,78,18,2,0.0,1455,73.76237623762376,86,3,100,37,1,41,74,85,20,7
15,Álvaro Aceves,ESP,Valladolid,1,13,0,0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0,0,0,1,0,0,0.0,7,50.0,0,0,0,0,0,0,0,0,0,0
