,Player,Position,90s,TCmp,LFTP,LPrgP,LPPA,LxA,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,CaFTC,CaCPA,Att_Pen,SSh,npxG,SDist,PTTB
0,Brenden Aaronson,attacking midfield,26.4,592,47,86,16,2.6,116,495,554,1143,34,43,151,34,13,72,41,3.9,-2.9,8
1,Paxten Aaronson,attacking midfield,1.9,51,3,6,0,0.1,6,41,53,99,3,8,15,2,2,17,4,0.2,-0.2,0
2,Himad Abdelli,attacking midfield,23.7,1043,124,151,26,2.5,237,914,409,1516,43,58,111,60,7,23,24,1.4,0.6,8
3,Yacine Adli,attacking midfield,1.6,49,6,10,2,0.2,14,45,42,97,4,7,8,5,0,2,2,0.1,-0.1,0
4,Maghnes Akliouche,attacking midfield,4.5,130,12,16,5,0.5,23,85,105,210,6,9,42,5,2,17,5,0.5,-0.5,0
5,Dele Alli,attacking midfield,0.4,12,2,1,0,0.0,1,8,11,20,0,0,1,0,0,2,0,0.0,0.0,0
6,Selim Amallah,attacking midfield,3.0,63,7,10,2,0.2,21,77,44,138,11,11,9,7,3,11,5,0.9,1.1,0
7,Lukáš Ambros,attacking midfield,0.2,3,0,0,0,0.0,3,5,1,9,0,0,0,0,0,0,0,0.0,0.0,0
8,Elliot Anderson,attacking midfield,4.6,150,15,24,4,1.5,44,99,151,286,10,23,35,15,12,39,11,1.0,-1.0,1
9,Adil Aouchiche,attacking midfield,2.8,115,15,23,3,0.1,30,104,61,192,2,16,20,10,1,8,8,0.5,-0.5,0
10,Ricard Artero,attacking midfield,1.5,37,2,3,0,0.1,14,36,20,68,3,4,9,4,0,6,4,0.5,-0.5,0
11,Mathias Autret,attacking midfield,14.3,451,61,77,16,2.0,123,366,239,721,10,20,58,12,3,24,23,2.5,-0.7,4
12,Nedim Bajrami,attacking midfield,19.5,505,32,73,17,2.3,129,335,466,908,29,45,143,37,22,56,44,3.1,-1.1,0
13,Nedim Bajrami,attacking midfield,19.5,505,32,73,17,2.3,129,335,466,908,29,45,143,37,22,56,44,3.1,-1.1,0
14,Tommaso Baldanzi,attacking midfield,19.7,534,38,69,17,1.8,109,408,334,841,23,57,94,51,14,46,33,2.4,1.6,3
15,Antonín Barák,attacking midfield,20.3,601,61,84,14,1.1,84,480,368,920,20,45,94,31,8,67,32,2.6,-0.6,0
16,Antonín Barák,attacking midfield,20.3,601,61,84,14,1.1,84,480,368,920,20,45,94,31,8,67,32,2.6,-0.6,5
17,Mickaël Barreto,attacking midfield,14.7,481,71,87,16,2.1,159,501,227,869,23,26,53,30,0,9,19,0.9,0.1,2
18,Christoph Baumgartner,attacking midfield,28.5,610,70,100,35,4.3,204,655,505,1340,54,76,145,59,33,118,66,7.1,-0.1,4
