,Player,Position,BTklInt,CTkl,BClr,BSh,BPass,TCmp,LCmp,LAtt,LPrgP,LFTP,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,PrgC,PrgP,90s,ADWonp,ADWon
0,James Abankwah,centre-back,1,0,5,2,2,23,2,5,0,0,0,26,13,0,39,0,0,0.7,100.0,2
1,Yunis Abdelhamid,centre-back,146,39,116,27,38,1679,155,279,215,155,40,1088,1275,123,2459,40,215,37.0,64.58333333333334,93
2,Francesco Acerbi,centre-back,74,20,85,18,7,1455,149,202,100,86,39,858,880,167,1890,39,100,26.9,65.0,78
3,Tosin Adarabioyo,centre-back,56,16,140,15,5,1066,136,223,95,96,16,776,732,46,1544,16,95,23.2,69.41176470588235,59
4,Emmanuel Agbadou,centre-back,103,42,107,14,16,1281,202,284,131,112,15,851,877,87,1798,15,131,26.5,62.5,60
5,Nayef Aguerd,centre-back,45,13,79,24,2,599,82,169,25,37,2,563,358,35,949,2,25,17.7,50.79365079365079,32
6,Joseph Aidoo,centre-back,82,16,150,14,12,1525,163,244,95,83,15,1114,938,46,2082,15,95,34.7,50.0,63
7,Emanuel Aiwum,centre-back,80,33,52,16,12,646,40,97,46,48,19,506,452,51,997,19,46,18.4,62.22222222222222,28
8,Kristoffer Ajer,centre-back,18,9,22,5,1,259,23,40,31,20,10,184,167,64,412,10,31,8.5,57.692307692307686,15
9,Manuel Akanji,centre-back,52,23,33,9,18,1912,117,166,116,140,24,815,1248,176,2231,24,116,25.4,40.35087719298245,23
10,Nathan Aké,centre-back,46,11,48,10,10,1639,63,98,140,165,25,615,1097,256,1959,25,140,20.8,61.01694915254237,36
11,Kevin Akpoguma,centre-back,99,32,70,16,29,814,83,162,85,83,17,613,609,93,1306,17,85,21.7,55.88235294117647,57
12,David Alaba,centre-back,29,9,37,9,9,1042,53,99,67,68,16,531,530,240,1293,16,67,20.4,57.89473684210527,11
13,Raúl Albiol,centre-back,39,14,111,13,4,1303,215,287,100,98,12,856,796,44,1687,12,100,23.5,60.31746031746032,38
14,Omar Alderete,centre-back,61,28,85,16,7,509,94,268,96,69,28,458,591,81,1114,28,96,22.7,66.30434782608695,61
15,Gastón Álvarez,centre-back,53,23,35,5,10,350,30,103,38,27,11,218,376,144,732,11,38,16.7,50.0,31
16,Yeray Álvarez,centre-back,82,24,101,13,10,1123,163,287,152,137,32,698,896,74,1651,32,152,25.9,58.51063829787234,55
17,Daniel Amartey,centre-back,27,12,71,17,7,1015,62,91,66,58,23,658,578,46,1279,23,66,17.9,56.66666666666666,34
18,Bruno Amione,centre-back,76,20,66,11,16,832,59,119,54,38,11,732,483,83,1283,11,54,23.8,61.60714285714286,69
19,Ethan Ampadu,centre-back,102,17,98,23,25,1254,134,253,125,106,28,930,841,140,1889,28,125,29.3,60.3960396039604,61
20,Joachim Andersen,centre-back,66,16,188,13,15,1561,281,534,105,153,16,1232,996,89,2303,16,105,30.9,71.900826446281,87
21,Waldemar Anton,centre-back,87,27,123,16,28,1629,167,324,135,112,56,1128,1083,249,2435,56,135,32.6,52.38095238095239,55
22,Josep Antoni Gayá,centre-back,1,0,6,2,2,6,0,0,0,0,0,15,3,1,19,0,0,1.1,50.0,1
23,Valentin Antov,centre-back,10,1,14,4,1,201,19,30,14,12,2,127,121,19,267,2,14,3.4,35.294117647058826,6
24,Ronald Araújo,centre-back,38,6,41,7,8,1139,110,174,79,95,29,487,882,77,1437,29,79,20.0,63.013698630136986,46
25,Cédric Avinel,centre-back,28,8,91,13,7,607,71,108,31,13,3,508,369,5,876,3,31,19.9,71.69811320754717,38
26,Kaan Ayhan,centre-back,15,7,26,4,1,288,48,72,15,20,8,198,182,6,385,8,15,6.1,22.22222222222222,2
27,Srđan Babić,centre-back,57,15,124,22,12,1172,142,223,63,55,21,976,633,43,1640,21,63,33.3,60.68376068376068,71
28,Loïc Bade,centre-back,52,17,80,13,8,787,73,118,45,42,7,607,462,36,1097,7,45,17.1,55.38461538461539,36
29,Benoît Badiashile,centre-back,57,14,74,8,3,1172,118,83,95,93,14,709,782,38,1513,14,95,19.4,72.72727272727273,56
30,Eric Bailly,centre-back,25,7,18,12,3,231,38,45,12,17,4,159,181,20,357,4,12,6.0,50.0,15
31,Dénys Bain,centre-back,6,1,4,1,1,52,2,2,3,1,0,42,28,0,70,0,3,1.4,75.0,3
32,Leonardo Balerdi,centre-back,120,32,91,29,19,1389,189,262,97,105,15,869,1027,113,1997,15,97,29.3,63.06306306306306,70
33,Federico Baschirotto,centre-back,76,22,192,29,16,1049,170,350,107,86,12,968,771,96,1823,12,107,37.0,58.70967741935483,91
34,Alessandro Bastoni,centre-back,65,11,45,13,14,1384,207,324,141,130,47,796,821,250,1857,47,141,24.0,62.903225806451616,39
35,Maximilian Bauer,centre-back,54,17,79,9,16,551,74,178,40,30,11,590,362,36,982,11,40,20.5,58.19672131147541,71
36,Timo Baumgartl,centre-back,13,5,14,4,8,257,26,63,28,20,4,160,187,26,372,4,28,6.2,65.51724137931035,19
37,Rodrigo Becão,centre-back,96,40,68,24,20,1089,128,239,98,77,19,805,701,172,1667,19,98,27.6,69.23076923076923,63
38,Mads Bech Sørensen,centre-back,1,0,1,0,0,7,1,4,1,2,0,4,8,2,14,0,1,0.2,100.0,1
39,Jan Bednarek,centre-back,81,13,92,28,13,813,82,136,50,37,9,674,500,38,1206,9,50,19.7,71.42857142857143,40
40,Stefan Bell,centre-back,87,22,133,15,27,945,124,260,92,67,9,849,653,59,1551,9,92,26.6,61.30952380952381,103
41,Armel Bella Kotchap,centre-back,81,15,110,12,17,749,67,159,39,32,9,654,519,46,1211,9,39,20.9,58.82352941176471,40
42,Jeanöel Belocian,centre-back,16,5,11,3,3,274,13,19,21,13,8,123,191,41,353,8,21,5.6,77.77777777777779,7
43,Owen Bevan,centre-back,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0.1,0.0,0
44,Matteo Bianchetti,centre-back,52,20,111,17,14,729,79,171,47,49,6,692,447,37,1169,6,47,23.7,61.16504854368932,63
45,Ermin Bičakčić,centre-back,13,2,14,3,1,68,9,19,7,6,0,76,43,18,137,0,7,2.9,45.0,9
46,Pedro Bigas,centre-back,70,18,95,14,11,843,100,200,83,63,19,681,569,63,1302,19,83,22.4,68.85245901639344,42
