,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,TOAtt,BTklInt,PTTB
0,Christian Acella,central midfield,0.2,9,0,0,1,9,1,11,0,0,0,0,1,0
1,Mohamed Achi,central midfield,0.4,18,1,3,4,11,10,25,0,2,1,1,1,0
2,Martin Adeline,central midfield,1.2,29,2,3,22,22,16,59,1,1,1,3,6,0
3,Michel Aebischer,central midfield,17.1,557,37,46,147,400,246,791,6,14,85,13,19,0
4,Álvaro Aguado,central midfield,21.0,930,111,139,255,742,315,1292,13,29,50,31,40,3
5,Jean-Daniel Akpa-Akpro,central midfield,15.1,302,24,39,163,338,143,630,31,19,37,55,66,1
6,Luis Alberto,central midfield,27.1,1640,210,248,269,1285,681,2215,19,73,94,41,58,14
7,Thiago Alcántara,central midfield,13.9,946,110,120,272,796,188,1251,21,13,24,30,64,8
8,Carlos Alcaraz,central midfield,11.4,222,20,28,73,234,130,430,13,20,32,28,11,2
9,Rubén Alcaraz,central midfield,22.7,827,93,105,309,768,224,1283,12,30,20,24,62,6
10,Carles Aleñá,central midfield,23.5,607,71,87,149,579,312,1024,24,24,78,43,22,3
11,Alejandro Alfaro,central midfield,0.2,1,0,0,0,1,1,2,0,0,0,1,0,0
12,Ángel Algobia,central midfield,12.6,420,35,42,147,390,92,626,4,10,11,6,30,0
13,Domingos André Ribeiro Almeida,central midfield,28.2,1110,143,197,244,820,651,1685,46,74,71,90,86,7
14,Nadiem Amiri,central midfield,10.9,423,38,55,119,339,174,623,18,30,30,38,21,4
15,Robert Andrich,central midfield,26.7,1218,77,99,540,1021,171,1724,5,12,8,7,103,0
16,Marcos Antônio,central midfield,6.6,380,40,25,117,331,49,493,4,1,8,5,20,1
17,Anuar,central midfield,2.3,30,3,3,20,30,20,70,2,6,4,4,7,0
18,Houssem Aouar,central midfield,5.8,299,37,37,51,279,134,461,10,12,36,23,20,1
19,Mauro Arambarri,central midfield,11.0,326,32,33,118,304,102,514,4,8,7,4,28,0
20,Charles Aránguiz,central midfield,5.5,248,21,32,84,225,61,368,4,3,7,7,24,0
21,Joe Aribo,central midfield,13.6,280,20,39,87,269,222,566,17,19,64,39,41,0
22,Stuart Armstrong,central midfield,15.6,531,47,75,133,403,341,864,22,61,88,52,42,3
23,Maximilian Arnold,central midfield,30.7,1269,115,150,470,1108,364,1922,8,29,19,17,88,6
24,Mohamed El Arouch,central midfield,0.0,1,1,1,3,1,1,4,0,1,0,1,1,0
25,Tolgay Arslan,central midfield,13.5,485,51,77,145,398,234,770,15,45,37,36,41,0
26,Kristoffer Askildsen,central midfield,8.1,165,20,24,68,190,97,351,3,10,17,6,18,0
27,Yasin Ayari,central midfield,0.7,20,4,2,5,18,8,30,0,0,2,1,2,1
28,Ayman Azhil,central midfield,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Iddrisu Baba,central midfield,18.9,476,42,47,253,476,60,773,11,3,8,19,42,1
30,Carlos Baleba,central midfield,5.3,249,33,33,49,256,83,384,15,16,12,28,14,0
31,Filippo Bandinelli,central midfield,25.1,773,62,101,317,658,376,1333,15,40,89,42,73,3
32,Shandon Baptiste,central midfield,6.9,247,22,39,87,196,97,373,6,8,23,13,22,2
33,Keidi Bare,central midfield,5.6,221,25,28,67,207,62,336,2,6,11,6,26,0
34,Nicolò Barella,central midfield,29.0,1306,150,214,303,962,656,1892,40,76,162,70,61,6
35,Ross Barkley,central midfield,10.7,391,36,48,91,296,228,606,12,30,46,21,24,1
36,Aymen Barkok,central midfield,6.5,181,18,40,53,156,158,360,9,17,28,20,21,2
37,Leandro Barreiro Martins,central midfield,23.8,379,48,54,221,432,231,870,5,17,49,19,101,2
38,Pablo Barrios,central midfield,8.0,368,46,51,106,314,140,554,15,16,27,30,28,1
39,Toma Bašić,central midfield,5.7,214,14,22,75,179,115,367,3,14,29,8,13,2
40,Simone Bastoni,central midfield,13.2,367,35,32,183,306,273,749,7,20,65,20,55,2
41,Julius Beck,central midfield,0.1,5,0,2,2,5,1,8,0,0,0,0,2,0
42,Donny van de Beek,central midfield,1.9,46,0,6,3,23,46,72,2,2,20,3,1,0
