,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,BTklInt,CTkl%,BClr,ADWon,ADWonp
0,Salis Abdul Samed,defensive midfield,32.2,1819,182,165,404,1502,340,2224,29,33,44,82,55.76923076923077,26,14,45.16129032258064
1,Laurent Abergel,defensive midfield,26.0,1308,144,143,581,1069,151,1779,23,13,14,126,42.391304347826086,39,8,34.78260869565217
2,Oliver Abildgaard,defensive midfield,6.6,115,17,15,82,137,40,257,1,2,8,15,43.75,17,50,70.4225352112676
3,Tyler Adams,defensive midfield,24.0,1108,110,136,376,1010,254,1628,7,19,20,124,64.93506493506493,29,25,62.5
4,Lucien Agoume,defensive midfield,12.2,619,62,93,276,480,143,893,5,9,10,69,51.51515151515152,24,31,63.26530612244898
5,Naouirou Ahamada,defensive midfield,16.5,486,41,58,151,422,176,737,21,44,65,28,39.130434782608695,7,7,29.166666666666668
6,Jean-Eudes Aholou,defensive midfield,14.4,447,53,50,131,483,194,799,14,25,37,58,38.70967741935484,15,26,59.09090909090909
7,Paul Akouokou,defensive midfield,5.0,160,13,10,102,117,16,233,3,1,1,28,65.0,17,6,46.15384615384615
8,Tomás Alarcón,defensive midfield,2.5,78,11,9,20,68,25,113,0,2,6,5,50.0,2,3,75.0
9,Éder Álvarez Balanta,defensive midfield,2.6,64,11,12,38,60,17,114,3,3,0,8,33.33333333333333,4,4,80.0
10,Ibrahim Amadou,defensive midfield,4.7,161,4,5,147,89,9,244,1,0,5,20,63.63636363636363,20,6,54.54545454545454
11,Sofyan Amrabat,defensive midfield,22.2,1323,158,176,298,1106,256,1641,12,36,24,60,55.172413793103445,18,11,45.83333333333333
12,Benjamin André,defensive midfield,32.4,1942,297,309,626,1774,363,2743,19,41,46,175,53.71900826446281,60,91,59.86842105263158
13,Santiago Ascacíbar,defensive midfield,8.1,358,50,41,177,280,100,553,4,1,6,42,40.0,11,10,33.33333333333333
14,Kristjan Asllani,defensive midfield,6.6,402,27,29,115,309,87,507,2,6,6,17,70.0,4,0,0.0
15,Valentin Atangana Edoa,defensive midfield,1.9,41,4,5,21,32,24,76,0,5,6,8,50.0,1,3,100.0
16,Brandon Baiye,defensive midfield,0.6,27,1,2,10,24,8,42,1,0,0,4,66.66666666666666,3,0,0.0
17,Stefan Bajcetic,defensive midfield,5.8,200,17,24,66,189,74,324,7,10,1,18,29.629629629629623,4,9,64.28571428571429
18,Tiemoué Bakayoko,defensive midfield,0.5,17,3,2,16,12,2,30,1,0,1,5,100.0,0,1,50.0
19,Andrea Barberis,defensive midfield,3.8,140,16,14,38,126,31,194,0,3,0,15,45.45454545454545,1,2,50.0
20,Enzo Barrenechea,defensive midfield,1.8,98,6,5,36,90,13,138,0,1,2,10,60.0,3,1,50.0
21,Rodrigo Battaglia,defensive midfield,7.6,185,24,19,114,170,27,310,0,3,3,17,42.85714285714285,18,11,57.89473684210527
22,Julian Baumgartlinger,defensive midfield,6.2,189,15,25,93,156,44,292,1,1,3,19,31.57894736842105,15,7,43.75
23,Alexis Beka Beka,defensive midfield,6.1,236,19,25,82,219,93,387,8,13,23,28,26.666666666666668,6,3,42.85714285714285
24,Reda Belahyane,defensive midfield,2.0,103,6,10,41,92,9,135,5,3,1,10,60.0,0,0,0.0
25,Ismaël Bennacer,defensive midfield,22.3,1219,123,132,300,1023,369,1666,27,30,52,85,58.82352941176471,16,22,50.0
26,Patrick Berg,defensive midfield,0.3,17,3,3,5,15,3,23,0,0,4,1,0.0,0,0,0.0
27,Marco Bertini,defensive midfield,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
28,Alexis Blin,defensive midfield,26.4,766,88,101,352,697,257,1299,5,13,32,103,52.05479452054794,74,55,44.354838709677416
29,Marcelo Brozović,defensive midfield,19.7,1318,102,114,439,987,291,1696,16,29,35,59,29.72972972972973,28,6,33.33333333333333
30,Sergio Busquets,defensive midfield,26.0,1722,230,254,387,1427,373,2172,11,26,32,85,56.86274509803921,36,53,47.32142857142857
31,Jens Cajuste,defensive midfield,17.0,606,66,109,223,533,231,969,39,46,40,64,52.083333333333336,22,13,43.333333333333336
32,Mohamed Camara,defensive midfield,7.7,252,27,30,61,262,81,393,7,13,14,23,33.33333333333333,8,15,65.21739130434783
33,Mohamed Camara,defensive midfield,7.7,252,27,30,61,262,81,393,7,13,14,23,33.33333333333333,8,14,56.00000000000001
34,Mohamed Camara,defensive midfield,7.7,252,27,30,61,262,81,393,7,13,14,110,52.17391304347826,14,15,65.21739130434783
35,Mohamed Camara,defensive midfield,7.7,252,27,30,61,262,81,393,7,13,14,110,52.17391304347826,14,14,56.00000000000001
36,Mohamed Camara,defensive midfield,7.7,252,27,30,344,1028,223,1574,23,28,19,23,33.33333333333333,8,15,65.21739130434783
37,Mohamed Camara,defensive midfield,7.7,252,27,30,344,1028,223,1574,23,28,19,23,33.33333333333333,8,14,56.00000000000001
38,Mohamed Camara,defensive midfield,7.7,252,27,30,344,1028,223,1574,23,28,19,110,52.17391304347826,14,15,65.21739130434783
39,Mohamed Camara,defensive midfield,7.7,252,27,30,344,1028,223,1574,23,28,19,110,52.17391304347826,14,14,56.00000000000001
40,Mohamed Camara,defensive midfield,7.7,1119,121,135,61,262,81,393,7,13,14,23,33.33333333333333,8,15,65.21739130434783
41,Mohamed Camara,defensive midfield,7.7,1119,121,135,61,262,81,393,7,13,14,23,33.33333333333333,8,14,56.00000000000001
42,Mohamed Camara,defensive midfield,7.7,1119,121,135,61,262,81,393,7,13,14,110,52.17391304347826,14,15,65.21739130434783
43,Mohamed Camara,defensive midfield,7.7,1119,121,135,61,262,81,393,7,13,14,110,52.17391304347826,14,14,56.00000000000001
44,Mohamed Camara,defensive midfield,7.7,1119,121,135,344,1028,223,1574,23,28,19,23,33.33333333333333,8,15,65.21739130434783
45,Mohamed Camara,defensive midfield,7.7,1119,121,135,344,1028,223,1574,23,28,19,23,33.33333333333333,8,14,56.00000000000001
46,Mohamed Camara,defensive midfield,7.7,1119,121,135,344,1028,223,1574,23,28,19,110,52.17391304347826,14,15,65.21739130434783
47,Mohamed Camara,defensive midfield,7.7,1119,121,135,344,1028,223,1574,23,28,19,110,52.17391304347826,14,14,56.00000000000001
48,Mohamed Camara,defensive midfield,24.4,252,27,30,61,262,81,393,7,13,14,23,33.33333333333333,8,15,65.21739130434783
49,Mohamed Camara,defensive midfield,24.4,252,27,30,61,262,81,393,7,13,14,23,33.33333333333333,8,14,56.00000000000001
50,Mohamed Camara,defensive midfield,24.4,252,27,30,61,262,81,393,7,13,14,110,52.17391304347826,14,15,65.21739130434783
51,Mohamed Camara,defensive midfield,24.4,252,27,30,61,262,81,393,7,13,14,110,52.17391304347826,14,14,56.00000000000001
52,Mohamed Camara,defensive midfield,24.4,252,27,30,344,1028,223,1574,23,28,19,23,33.33333333333333,8,15,65.21739130434783
53,Mohamed Camara,defensive midfield,24.4,252,27,30,344,1028,223,1574,23,28,19,23,33.33333333333333,8,14,56.00000000000001
54,Mohamed Camara,defensive midfield,24.4,252,27,30,344,1028,223,1574,23,28,19,110,52.17391304347826,14,15,65.21739130434783
55,Mohamed Camara,defensive midfield,24.4,252,27,30,344,1028,223,1574,23,28,19,110,52.17391304347826,14,14,56.00000000000001
56,Mohamed Camara,defensive midfield,24.4,1119,121,135,61,262,81,393,7,13,14,23,33.33333333333333,8,15,65.21739130434783
57,Mohamed Camara,defensive midfield,24.4,1119,121,135,61,262,81,393,7,13,14,23,33.33333333333333,8,14,56.00000000000001
58,Mohamed Camara,defensive midfield,24.4,1119,121,135,61,262,81,393,7,13,14,110,52.17391304347826,14,15,65.21739130434783
59,Mohamed Camara,defensive midfield,24.4,1119,121,135,61,262,81,393,7,13,14,110,52.17391304347826,14,14,56.00000000000001
60,Mohamed Camara,defensive midfield,24.4,1119,121,135,344,1028,223,1574,23,28,19,23,33.33333333333333,8,15,65.21739130434783
61,Mohamed Camara,defensive midfield,24.4,1119,121,135,344,1028,223,1574,23,28,19,23,33.33333333333333,8,14,56.00000000000001
62,Mohamed Camara,defensive midfield,24.4,1119,121,135,344,1028,223,1574,23,28,19,110,52.17391304347826,14,15,65.21739130434783
63,Mohamed Camara,defensive midfield,24.4,1119,121,135,344,1028,223,1574,23,28,19,110,52.17391304347826,14,14,56.00000000000001
64,Emre Can,defensive midfield,21.1,1153,111,99,448,872,202,1509,13,34,12,82,51.16279069767442,39,31,67.3913043478261
65,Étienne Capoue,defensive midfield,21.7,915,115,98,199,726,301,1211,31,45,72,40,55.55555555555556,20,25,56.81818181818182
66,William Carvalho,defensive midfield,27.1,1510,170,203,303,1323,370,1979,29,46,52,59,38.63636363636363,22,32,54.23728813559322
67,Casemiro,defensive midfield,23.7,1121,137,152,534,957,293,1769,9,14,34,123,52.17391304347826,65,56,65.11627906976744
68,Michele Castagnetti,defensive midfield,15.7,624,95,120,209,560,184,941,8,14,10,61,33.33333333333333,22,9,39.130434782608695
69,Danilo Cataldi,defensive midfield,21.3,1147,99,83,370,954,174,1487,6,8,14,49,35.0,33,1,16.666666666666664
70,Trevoh Chalobah,defensive midfield,17.9,1051,64,71,602,604,167,1369,8,17,27,55,70.58823529411765,56,31,49.2063492063492
71,Pedro Chirivella,defensive midfield,22.5,1163,182,172,225,1071,206,1494,8,15,22,53,38.63636363636363,7,9,52.94117647058824
72,Joris Chotard,defensive midfield,27.3,867,89,105,409,765,178,1339,13,8,28,104,51.28205128205128,42,12,37.5
73,Tolga Ciğerci,defensive midfield,7.5,326,23,32,128,293,81,498,5,3,2,24,62.5,5,10,47.61904761904761
74,Jack Colback,defensive midfield,5.5,119,12,16,65,100,27,189,3,5,3,21,62.5,9,4,33.33333333333333
75,Francis Coquelin,defensive midfield,8.3,265,19,29,63,224,107,391,2,11,27,27,100.0,7,6,60.0
76,Samu Costa,defensive midfield,22.1,864,68,91,478,774,153,1395,9,9,24,98,47.540983606557376,64,48,66.66666666666666
77,Conor Coventry,defensive midfield,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
78,Bryan Cristante,defensive midfield,32.6,1381,157,142,559,1257,196,1993,9,16,27,131,61.11111111111112,53,75,64.65517241379311
79,Josh Dasilva,defensive midfield,15.4,491,35,62,144,342,298,770,32,60,69,23,37.5,7,6,42.85714285714285
80,Duccio Degl'Innocenti,defensive midfield,0.0,0,0,0,0,1,0,1,0,0,0,1,0.0,0,0,0.0
81,Thomas Delaney,defensive midfield,6.7,250,14,21,132,198,50,379,2,1,3,15,23.07692307692308,7,20,76.92307692307693
82,Diego Demme,defensive midfield,1.6,181,13,16,30,153,22,205,2,3,1,1,0.0,1,2,66.66666666666666
83,Leander Dendoncker,defensive midfield,10.1,334,21,24,135,294,67,493,4,1,5,42,54.16666666666666,16,12,48.0
84,Ibrahima Diallo,defensive midfield,9.1,317,24,28,128,308,74,499,8,9,6,31,57.14285714285714,11,15,62.5
85,Mouhamadou Diarra,defensive midfield,18.1,506,42,52,132,413,336,867,25,68,89,35,51.72413793103448,13,12,32.432432432432435
86,John Donald,defensive midfield,12.1,356,23,23,236,273,33,542,5,3,2,34,50.0,23,28,62.22222222222222
87,Niklas Dorsch,defensive midfield,5.4,140,7,14,95,121,27,237,5,2,0,27,56.25,9,5,41.66666666666667
88,Lohann Doucet,defensive midfield,1.0,67,3,9,20,59,14,92,1,2,1,5,75.0,4,0,0.0
89,Cheick Doucouré,defensive midfield,30.8,1038,110,140,444,894,255,1577,15,18,17,133,55.76923076923077,48,30,50.84745762711864
90,Íñigo Eguaras,defensive midfield,10.7,458,50,61,174,369,75,614,4,8,7,17,27.77777777777778,15,3,37.5
91,Albin Ekdal,defensive midfield,19.3,606,62,80,256,551,208,999,12,15,35,63,42.22222222222222,36,36,63.1578947368421
92,Mohamed Elneny,defensive midfield,1.3,57,3,2,11,42,11,63,0,1,1,1,100.0,0,0,0.0
93,Wataru Endo,defensive midfield,32.5,1170,138,171,507,1013,380,1873,28,32,67,96,44.70588235294118,63,74,57.8125
94,Salvatore Esposito,defensive midfield,10.8,500,49,51,175,409,156,737,6,4,11,26,23.809523809523807,18,7,63.63636363636363
95,Fabinho,defensive midfield,29.7,1617,131,161,456,1314,325,2092,7,15,39,102,38.70967741935484,40,30,58.82352941176471
96,Fernando,defensive midfield,36.5,919,16,0,1403,6,0,1409,1,0,0,1,0.0,20,2,66.66666666666666
97,Fernando,defensive midfield,36.5,919,16,0,1403,6,0,1409,1,0,0,1,0.0,20,20,60.60606060606061
98,Fernando,defensive midfield,36.5,919,16,0,1403,6,0,1409,1,0,0,58,60.0,29,2,66.66666666666666
99,Fernando,defensive midfield,36.5,919,16,0,1403,6,0,1409,1,0,0,58,60.0,29,20,60.60606060606061
100,Fernando,defensive midfield,36.5,919,16,0,369,532,131,1025,3,6,13,1,0.0,20,2,66.66666666666666
101,Fernando,defensive midfield,36.5,919,16,0,369,532,131,1025,3,6,13,1,0.0,20,20,60.60606060606061
102,Fernando,defensive midfield,36.5,919,16,0,369,532,131,1025,3,6,13,58,60.0,29,2,66.66666666666666
103,Fernando,defensive midfield,36.5,919,16,0,369,532,131,1025,3,6,13,58,60.0,29,20,60.60606060606061
104,Fernando,defensive midfield,36.5,768,52,67,1403,6,0,1409,1,0,0,1,0.0,20,2,66.66666666666666
105,Fernando,defensive midfield,36.5,768,52,67,1403,6,0,1409,1,0,0,1,0.0,20,20,60.60606060606061
106,Fernando,defensive midfield,36.5,768,52,67,1403,6,0,1409,1,0,0,58,60.0,29,2,66.66666666666666
107,Fernando,defensive midfield,36.5,768,52,67,1403,6,0,1409,1,0,0,58,60.0,29,20,60.60606060606061
108,Fernando,defensive midfield,36.5,768,52,67,369,532,131,1025,3,6,13,1,0.0,20,2,66.66666666666666
109,Fernando,defensive midfield,36.5,768,52,67,369,532,131,1025,3,6,13,1,0.0,20,20,60.60606060606061
110,Fernando,defensive midfield,36.5,768,52,67,369,532,131,1025,3,6,13,58,60.0,29,2,66.66666666666666
111,Fernando,defensive midfield,36.5,768,52,67,369,532,131,1025,3,6,13,58,60.0,29,20,60.60606060606061
112,Fernando,defensive midfield,17.5,919,16,0,1403,6,0,1409,1,0,0,1,0.0,20,2,66.66666666666666
113,Fernando,defensive midfield,17.5,919,16,0,1403,6,0,1409,1,0,0,1,0.0,20,20,60.60606060606061
114,Fernando,defensive midfield,17.5,919,16,0,1403,6,0,1409,1,0,0,58,60.0,29,2,66.66666666666666
115,Fernando,defensive midfield,17.5,919,16,0,1403,6,0,1409,1,0,0,58,60.0,29,20,60.60606060606061
116,Fernando,defensive midfield,17.5,919,16,0,369,532,131,1025,3,6,13,1,0.0,20,2,66.66666666666666
117,Fernando,defensive midfield,17.5,919,16,0,369,532,131,1025,3,6,13,1,0.0,20,20,60.60606060606061
118,Fernando,defensive midfield,17.5,919,16,0,369,532,131,1025,3,6,13,58,60.0,29,2,66.66666666666666
119,Fernando,defensive midfield,17.5,919,16,0,369,532,131,1025,3,6,13,58,60.0,29,20,60.60606060606061
120,Fernando,defensive midfield,17.5,768,52,67,1403,6,0,1409,1,0,0,1,0.0,20,2,66.66666666666666
121,Fernando,defensive midfield,17.5,768,52,67,1403,6,0,1409,1,0,0,1,0.0,20,20,60.60606060606061
122,Fernando,defensive midfield,17.5,768,52,67,1403,6,0,1409,1,0,0,58,60.0,29,2,66.66666666666666
123,Fernando,defensive midfield,17.5,768,52,67,1403,6,0,1409,1,0,0,58,60.0,29,20,60.60606060606061
124,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,1,0.0,20,2,66.66666666666666
125,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,1,0.0,20,20,60.60606060606061
126,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,58,60.0,29,2,66.66666666666666
127,Fernando,defensive midfield,17.5,768,52,67,369,532,131,1025,3,6,13,58,60.0,29,20,60.60606060606061
128,Florian Flick,defensive midfield,5.7,129,13,12,86,135,26,244,1,2,2,16,28.57142857142857,18,14,66.66666666666666
129,Bartol Franjić,defensive midfield,2.5,61,6,4,35,64,17,114,1,3,1,9,0.0,4,5,62.5
130,Pablo Galdames Millán,defensive midfield,8.2,211,27,33,93,211,89,389,2,5,17,24,15.151515151515152,13,4,40.0
131,James Garner,defensive midfield,8.9,256,22,33,97,201,150,441,7,8,18,28,47.368421052631575,13,12,54.54545454545454
132,Johan Gastien,defensive midfield,28.9,1743,193,219,628,1426,325,2358,9,13,27,98,34.23423423423424,25,10,50.0
133,João Gomes,defensive midfield,7.3,250,18,19,118,212,80,409,8,7,8,33,56.52173913043478,11,7,63.63636363636363
134,Maxime Gonalons,defensive midfield,16.1,736,80,99,259,657,97,997,15,10,3,72,47.16981132075472,7,15,62.5
135,Jacek Góralski,defensive midfield,1.6,31,0,3,22,33,4,59,0,1,0,9,66.66666666666666,5,0,0.0
136,Christian Groß,defensive midfield,21.0,695,63,67,290,672,114,1067,15,22,17,79,48.333333333333336,38,26,46.42857142857143
