,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
0,Abner,left-back,20,43.75,13,0,8,16,18,0.5,7,8,128,189,113,425,6.7,25
1,Marcos Acuña,left-back,80,71.42857142857143,147,3,65,102,71,5.7,43,49,406,670,467,1523,21.2,94
2,Felix Agu,right-back,1,0.0,1,0,4,2,1,0.1,2,0,7,13,14,33,0.5,2
3,Ruben Aguilar,right-back,37,36.36363636363637,39,0,18,102,72,1.2,23,29,210,463,305,975,13.0,78
4,Ola Aina,right-back,28,60.0,35,0,27,43,35,1.9,26,35,146,294,250,679,9.7,43
5,Rayan Aït Nouri,left-back,42,60.0,21,0,23,43,29,0.9,13,30,240,279,233,740,12.0,76
6,Sergio Akieme,left-back,41,54.54545454545454,70,3,36,58,43,2.2,34,60,434,563,307,1283,25.5,84
7,Jordi Alba,left-back,36,42.85714285714285,91,4,59,141,120,6.7,27,42,299,765,506,1558,15.8,157
8,Trent Alexander-Arnold,right-back,100,53.16455696202531,252,26,124,235,239,9.1,39,43,737,1631,837,3180,32.5,139
9,Marcos Alonso,left-back,26,75.0,23,1,14,71,70,0.9,11,26,402,624,94,1114,13.0,12
10,Mickaël Alphonse,right-back,70,60.60606060606061,27,0,19,51,43,0.9,25,30,255,457,178,879,15.1,34
11,Jordan Amavi,left-back,7,33.33333333333333,6,0,2,5,2,0.0,5,4,33,65,23,119,2.2,5
12,Kelvin Amian,right-back,76,77.41935483870968,39,1,45,102,80,2.2,31,53,506,512,383,1395,26.4,72
13,Ayoub Amraoui,left-back,10,40.0,14,0,4,13,10,0.1,5,6,69,93,50,210,3.3,18
14,Angeliño,left-back,65,62.16216216216216,179,1,88,108,82,7.7,26,24,506,771,533,1798,29.1,120
15,Fabrizio Angileri,left-back,19,58.82352941176471,12,0,5,16,13,0.1,7,4,88,157,80,324,6.5,14
16,Dennis Appiah,right-back,31,37.03703703703704,21,0,11,39,30,0.3,13,15,158,292,113,554,8.8,51
17,Santiago Arzamendia,left-back,11,28.57142857142857,14,0,11,17,14,0.2,9,8,90,135,70,290,5.4,22
18,Lorenz Assignon,right-back,8,50.0,4,0,4,11,8,0.3,7,10,51,110,42,200,2.9,13
19,Youcef Atal,right-back,52,71.875,40,1,31,39,28,1.7,29,38,149,295,202,632,8.7,63
20,Tommaso Augello,left-back,34,45.0,170,0,77,119,84,3.8,43,84,615,856,544,1981,34.0,153
21,Ludwig Augustinsson,left-back,4,33.33333333333333,5,0,2,5,1,0.1,3,0,47,47,37,131,2.4,9
22,Ludwig Augustinsson,left-back,4,33.33333333333333,6,0,2,5,1,0.1,3,0,47,47,37,131,2.4,9
23,Serge Aurier,right-back,93,69.6969696969697,40,1,26,71,44,0.9,26,37,484,505,263,1238,21.6,50
24,Mehmet Aydin,right-back,35,45.83333333333333,23,1,13,15,13,0.3,12,9,128,165,97,380,6.3,21
25,Luke Ayling,right-back,92,49.41176470588236,62,0,40,77,61,2.2,20,28,466,578,390,1413,22.8,100
26,César Azpilicueta,right-back,62,59.45945945945946,26,0,25,71,40,1.3,19,23,424,510,319,1245,17.0,81
27,Sanoussy Ba,left-back,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0
28,Mitchel Bakker,left-back,31,40.0,26,1,37,57,36,1.3,17,28,331,570,250,1139,18.4,65
29,Ridle Baku,right-back,71,55.172413793103445,70,2,64,126,116,5.0,23,50,521,880,498,1889,28.7,157
30,Alejandro Balde,left-back,54,58.53658536585365,67,0,66,79,74,5.4,69,96,419,874,672,1939,27.5,234
31,Thierno Balde,right-back,50,60.0,37,4,45,60,34,1.5,51,66,395,425,339,1138,23.9,118
32,Mikel Balenziaga,left-back,5,100.0,3,0,1,7,4,0.1,2,0,14,39,25,77,1.3,6
33,Iván Balliu,right-back,77,60.0,105,1,66,131,95,2.6,51,75,503,925,695,2116,35.9,147
34,Fodé Ballo-Touré,left-back,16,70.0,17,0,8,25,13,0.3,7,11,77,168,110,352,5.8,31
