,Player,Position,90s,PSxG,PSxG/SoT,PSxG-GA,LCmp,LAtt,PaAtt,PaThr,PaAvgLen,GKAtt,GKAvgLen,COpp,CStp,SwOPA,SoTA,Saves,Savep,CS,PKsv
0,Álvaro Aceves,goalkeeper,0.1,0.1,0.04,0.1,1.0,2.0,7.0,3.0,25.7,1.0,24.0,1.0,0.0,2.0,3.0,3.0,100.0,0.0,0.0
1,Julen Agirrezabala,goalkeeper,7.5,5.5,0.3,-0.5,37.0,101.0,179.0,33.0,30.5,62.0,55.4,96.0,11.0,10.0,19.0,13.0,68.42105263,2.0,0.0
2,Doğan Alemdar,goalkeeper,4.5,6.5,0.29,-1.5,23.0,67.0,109.0,14.0,33.0,35.0,51.4,75.0,5.0,5.0,16.0,7.0,43.75,1.0,1.0
3,Alisson,goalkeeper,37.0,51.1,0.33,10.1,116.0,283.0,1256.0,210.0,26.9,193.0,31.3,397.0,23.0,89.0,147.0,105.0,71.42857143,14.0,1.0
4,Alphonse Areola,goalkeeper,3.4,7.3,0.33,0.3,14.0,37.0,61.0,14.0,33.4,30.0,33.0,47.0,2.0,1.0,16.0,9.0,56.25,1.0,0.0
5,Kepa Arrizabalaga,goalkeeper,28.5,35.0,0.29,5.0,68.0,213.0,864.0,151.0,26.3,182.0,31.5,332.0,15.0,52.0,120.0,90.0,75.0,9.0,0.0
6,Sergio Asenjo,goalkeeper,10.0,16.8,0.31,-4.2,58.0,162.0,260.0,46.0,35.8,92.0,51.2,166.0,5.0,17.0,51.0,30.0,58.82352941,1.0,0.0
7,Emil Audero,goalkeeper,25.0,32.3,0.21,-4.7,159.0,441.0,714.0,104.0,39.1,200.0,44.2,356.0,24.0,23.0,121.0,82.0,67.76859504,4.0,2.0
8,Édgar Badía,goalkeeper,36.0,69.5,0.31,8.5,191.0,422.0,772.0,166.0,34.2,296.0,41.7,574.0,21.0,20.0,200.0,136.0,68.0,4.0,3.0
9,Francesco Bardi,goalkeeper,1.0,0.6,0.16,0.6,5.0,9.0,13.0,5.0,35.6,9.0,33.4,10.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0
10,Oliver Baumann,goalkeeper,34.0,50.4,0.31,-5.6,206.0,525.0,1164.0,168.0,33.6,249.0,39.3,529.0,43.0,43.0,161.0,105.0,65.2173913,5.0,0.0
11,Gavin Bazunu,goalkeeper,32.0,35.4,0.28,-16.6,212.0,629.0,935.0,144.0,38.1,237.0,50.0,456.0,36.0,48.0,120.0,67.0,55.83333333,4.0,1.0
12,Asmir Begović,goalkeeper,1.0,0.5,0.12,0.5,4.0,13.0,22.0,5.0,34.9,8.0,46.8,23.0,1.0,0.0,4.0,4.0,100.0,1.0,0.0
13,Daniel Bentley,goalkeeper,2.0,3.9,0.3,0.9,10.0,29.0,57.0,14.0,32.9,23.0,32.2,37.0,5.0,1.0,13.0,10.0,76.92307692,0.0,0.0
14,Paul Bernardoni,goalkeeper,27.0,51.4,0.31,-7.6,94.0,291.0,479.0,124.0,34.6,185.0,42.6,357.0,21.0,18.0,143.0,84.0,58.74125874,3.0,0.0
15,Marco Bizot,goalkeeper,37.0,54.9,0.26,2.9,198.0,477.0,806.0,163.0,35.5,289.0,43.9,520.0,30.0,25.0,176.0,122.0,69.31818182,8.0,2.0
16,Rubén Blanco,goalkeeper,5.5,3.9,0.2,-0.1,11.0,47.0,165.0,31.0,27.4,41.0,32.1,73.0,3.0,7.0,19.0,15.0,78.94736842,0.0,0.0
17,Janis Blaswich,goalkeeper,26.0,26.9,0.27,-2.1,59.0,189.0,985.0,126.0,25.3,156.0,30.0,288.0,20.0,39.0,75.0,45.0,60.0,7.0,1.0
18,Joaquín Blázquez,goalkeeper,1.0,0.2,0.06,0.2,8.0,13.0,18.0,3.0,45.7,11.0,26.3,11.0,2.0,0.0,3.0,3.0,100.0,1.0,0.0
19,Yassine Bounou,goalkeeper,23.9,37.3,0.34,-1.7,115.0,303.0,785.0,92.0,30.9,162.0,42.1,308.0,20.0,39.0,106.0,66.0,62.26415094,4.0,1.0
20,Claudio Bravo,goalkeeper,12.0,11.0,0.24,2.0,75.0,225.0,288.0,42.0,39.6,101.0,52.5,213.0,4.0,6.0,42.0,33.0,78.57142857,4.0,0.0
21,Fabian Bredlow,goalkeeper,15.0,20.1,0.26,-1.9,55.0,129.0,503.0,86.0,27.6,91.0,33.5,203.0,12.0,15.0,59.0,37.0,62.71186441,1.0,0.0
22,Marcin Bułka,goalkeeper,2.0,3.1,0.52,1.1,8.0,20.0,49.0,11.0,28.1,18.0,44.2,26.0,2.0,3.0,6.0,4.0,66.66666667,0.0,0.0
23,Marco Carnesecchi,goalkeeper,27.0,44.2,0.28,-1.8,157.0,523.0,745.0,135.0,41.4,203.0,53.1,402.0,29.0,29.0,153.0,107.0,69.93464052,4.0,0.0
24,Matis Carvalho,goalkeeper,1.5,1.9,0.24,-1.1,14.0,43.0,38.0,4.0,49.4,14.0,61.4,38.0,2.0,0.0,8.0,5.0,62.5,1.0,0.0
25,Koen Casteels,goalkeeper,34.0,43.9,0.27,-1.1,257.0,588.0,1326.0,183.0,33.7,258.0,47.5,489.0,29.0,51.0,147.0,101.0,68.70748299,12.0,1.0
26,Michele Cerofolini,goalkeeper,5.0,3.4,0.22,0.4,24.0,70.0,167.0,27.0,33.3,28.0,38.1,29.0,1.0,3.0,11.0,8.0,72.72727273,2.0,0.0
27,Julian Chabot,goalkeeper,,,,,,,,,,,,,,,,,,,
28,Lucas Chevalier,goalkeeper,32.0,30.5,0.27,2.5,76.0,282.0,903.0,121.0,29.4,105.0,37.2,317.0,22.0,25.0,105.0,76.0,72.38095238,10.0,1.0
29,Oliver Christensen,goalkeeper,33.0,57.9,0.33,-10.1,204.0,586.0,977.0,166.0,35.9,235.0,54.3,486.0,33.0,70.0,163.0,94.0,57.66871166,3.0,1.0
30,Andrea Consigli,goalkeeper,35.0,38.5,0.31,-14.5,176.0,436.0,1140.0,187.0,33.3,285.0,32.5,467.0,28.0,28.0,117.0,64.0,54.7008547,9.0,0.0
31,Alex Cordaz,goalkeeper,0.3,0.5,0.26,0.5,1.0,7.0,15.0,3.0,33.5,5.0,52.0,7.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0
32,Benoît Costil,goalkeeper,19.0,34.0,0.33,-7.0,132.0,292.0,454.0,72.0,36.8,137.0,51.7,285.0,3.0,11.0,96.0,55.0,57.29166667,2.0,0.0
33,Thibaut Courtois,goalkeeper,31.0,29.7,0.22,0.7,83.0,214.0,982.0,194.0,27.7,152.0,29.5,366.0,32.0,40.0,118.0,88.0,74.57627119,10.0,1.0
34,Alessio Cragno,goalkeeper,1.0,1.7,0.35,-1.3,2.0,4.0,25.0,4.0,22.6,6.0,33.3,7.0,0.0,2.0,5.0,2.0,40.0,0.0,0.0
35,Finn Dahmen,goalkeeper,8.0,13.5,0.25,-2.5,48.0,139.0,226.0,38.0,36.6,54.0,54.5,158.0,17.0,8.0,44.0,26.0,59.09090909,0.0,2.0
36,Rémy Descamps,goalkeeper,1.0,1.5,0.25,0.5,5.0,9.0,20.0,9.0,33.2,6.0,46.5,11.0,1.0,0.0,6.0,5.0,83.33333333,0.0,0.0
37,Michele Di Gregorio,goalkeeper,37.0,48.7,0.28,0.7,166.0,476.0,1265.0,236.0,32.2,247.0,34.9,541.0,14.0,32.0,167.0,119.0,71.25748503,10.0,0.0
38,Mory Diaw,goalkeeper,37.0,55.4,0.28,8.4,235.0,601.0,1209.0,173.0,37.0,255.0,40.4,464.0,34.0,25.0,161.0,110.0,68.32298137,10.0,4.0
39,Stole Dimitrievski,goalkeeper,36.9,44.2,0.3,-0.8,152.0,537.0,816.0,199.0,38.6,299.0,46.7,500.0,24.0,52.0,139.0,94.0,67.62589928,9.0,0.0
40,Yehvann Diouf,goalkeeper,31.0,37.0,0.27,7.0,136.0,308.0,874.0,191.0,31.8,185.0,34.3,430.0,40.0,35.0,137.0,107.0,78.10218978,14.0,0.0
41,Ouparine Djoco,goalkeeper,1.0,1.0,0.34,-1.0,3.0,17.0,30.0,4.0,33.6,10.0,31.7,14.0,1.0,5.0,3.0,1.0,33.33333333,0.0,0.0
42,Marko Dmitrović,goalkeeper,14.1,12.2,0.23,0.2,103.0,326.0,372.0,44.0,44.0,131.0,62.4,216.0,12.0,10.0,55.0,43.0,78.18181818,5.0,0.0
43,Gianluigi Donnarumma,goalkeeper,37.9,43.3,0.26,4.3,54.0,148.0,728.0,167.0,23.9,207.0,24.1,436.0,33.0,27.0,160.0,120.0,75.0,13.0,1.0
44,Bartłomiej Drągowski,goalkeeper,32.7,46.1,0.25,-4.9,151.0,482.0,975.0,159.0,34.6,196.0,46.5,472.0,13.0,32.0,164.0,112.0,68.29268293,6.0,1.0
45,Martin Dúbravka,goalkeeper,1.7,1.9,0.21,1.9,6.0,10.0,39.0,14.0,20.7,15.0,35.3,30.0,1.0,0.0,9.0,9.0,100.0,0.0,0.0
46,Maxime Dupé,goalkeeper,38.0,54.2,0.28,0.2,136.0,363.0,1006.0,176.0,29.5,264.0,37.2,517.0,30.0,21.0,179.0,122.0,68.15642458,9.0,3.0
47,Ederson,goalkeeper,35.0,26.2,0.3,-4.8,117.0,263.0,1104.0,147.0,28.0,152.0,32.3,286.0,19.0,33.0,77.0,46.0,59.74025974,11.0,0.0
48,Łukasz Fabiański,goalkeeper,34.6,45.9,0.28,-1.1,198.0,516.0,677.0,153.0,39.3,249.0,44.8,513.0,29.0,25.0,154.0,106.0,68.83116883,8.0,1.0
49,Ralf Fährmann,goalkeeper,11.4,12.4,0.21,0.4,99.0,217.0,358.0,50.0,36.8,83.0,48.9,162.0,11.0,9.0,55.0,43.0,78.18181818,5.0,0.0
