,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh_p90,SSoT_90,Off
0,Zakaria Aboukhlal,right winger,29,1,2.8,22,30,22,72,151,109,42,100,44,276,27.5,11.5,11.5,3.018181818181818,1.0909090909090908,20
1,Amine Adli,right winger,18,3,1.9,20,26,10,49,67,58,26,46,15,137,15.9,5.0,5.0,2.3270440251572326,1.069182389937107,4
2,Kevin Agudelo,right winger,34,5,2.6,28,58,31,110,54,109,50,81,19,100,23.7,1.5,1.5,1.181434599156118,0.2953586497890295,2
3,Amar Ahmed,left winger,0,0,0.0,0,0,0,1,0,1,1,0,0,2,0.2,0.0,0.0,0.0,0.0,0
4,Ángel Alarcón,left winger,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.0,3.333333333333333,3.333333333333333,0
5,Marc Albrighton,right winger,28,1,0.4,6,6,5,7,5,2,2,4,0,18,2.6,0.3,0.3,0.7692307692307692,0.3846153846153846,1
6,Iván Alejo,right winger,108,1,1.6,21,10,24,16,22,47,12,52,2,103,14.6,1.2,1.2,1.5753424657534247,0.4109589041095891,2
7,Faride Alidou,left winger,7,0,0.3,3,8,7,16,5,10,2,8,4,24,2.0,0.1,0.1,1.0,0.0,2
8,Jim Allevinah,left winger,65,0,2.5,18,37,14,59,65,88,34,82,14,141,24.9,2.5,2.5,1.2048192771084338,0.321285140562249,1
9,Miguel Almirón,right winger,26,3,3.0,26,45,36,124,138,79,34,77,25,264,27.7,8.0,8.0,2.490974729241877,0.7220216606498195,9
10,Amath,left winger,16,1,0.6,2,13,5,16,40,34,14,33,12,69,13.6,2.7,2.7,1.6911764705882353,0.5147058823529412,7
11,Felipe Anderson,right winger,50,4,4.2,47,61,47,114,129,105,54,83,31,224,32.9,6.0,6.0,1.2462006079027357,0.6990881458966566,7
12,Jaidon Anthony,left winger,43,2,1.1,12,24,19,49,33,47,15,31,13,72,14.0,2.2,2.2,1.5714285714285714,0.9285714285714286,5
13,José Antonio,left winger,1,0,0.0,1,2,1,3,0,4,1,2,0,2,0.5,0.0,0.0,0.0,0.0,0
14,Antony,right winger,32,3,2.4,28,29,33,74,85,77,30,95,32,168,20.0,6.6,6.6,3.6,1.2,2
15,Christopher Antwi-Adjei,left winger,63,2,3.8,33,17,30,36,63,80,31,67,20,231,22.0,2.2,2.2,1.318181818181818,0.3636363636363636,15
16,Stredair Appuah,left winger,2,0,0.1,3,0,1,3,2,5,4,7,2,10,0.7,0.1,0.1,4.285714285714286,0.0,0
17,Taïryk Arconte,right winger,1,0,0.0,2,0,0,1,5,5,3,1,2,8,1.4,0.3,0.3,1.4285714285714286,0.7142857142857143,1
18,Adu Ares,left winger,8,0,0.2,3,4,3,4,3,9,5,8,1,19,0.9,0.1,0.1,3.333333333333333,0.0,0
19,Sergio Arribas,right winger,1,0,0.0,1,1,1,2,1,0,0,0,0,0,0.2,0.2,0.2,5.0,0.0,0
20,Takuma Asano,right winger,28,2,2.1,22,18,18,34,80,35,13,32,16,119,19.0,5.6,5.6,2.789473684210526,0.9473684210526316,7
21,Marco Asensio,right winger,82,5,4.2,41,60,26,70,71,33,23,56,11,108,16.0,6.3,5.5,3.625,1.5,4
22,André Ayew,left winger,1,0,0.0,1,3,1,11,8,6,1,3,2,16,3.5,1.0,0.3,0.8571428571428571,0.2857142857142857,1
23,Alex Baena,left winger,26,21,3.8,31,75,43,124,66,62,27,50,14,110,21.6,3.9,3.9,2.8703703703703702,1.0185185185185184,3
