Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.0,Matches
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,1,0,0,5,3,1,7,0,5,0,0,0,8,1,1,50.0,Matches
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0,Matches
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,Matches
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,6,0,0,49,28,2,5,64,50,0,0,0,263,93,51,64.6,Matches
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9,Matches
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,6,1,0,71,38,0,10,36,26,0,0,1,213,14,17,45.2,Matches
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,7,1,1,28,29,0,6,34,52,0,0,0,193,8,15,34.8,Matches
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4,Matches
10,Matthis Abline,FRA,"FW,MF",Auxerre,Ligue 1,19,2003,9.0,1,0,0,14,10,5,6,1,2,1,0,0,13,12,30,28.6,Matches
11,Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,19,2003,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0,Matches
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0,Matches
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.9,Matches
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9,Matches
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0,Matches
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0.0,Matches
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5,Matches
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2,Matches
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5,Matches
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,3,0,0,17,6,4,13,4,7,0,0,0,40,12,25,32.4,Matches
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.4,Matches
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5,Matches
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,9,0,0,21,30,1,25,7,11,0,0,0,66,10,4,71.4,Matches
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,2,2,0,39,47,4,18,6,10,2,1,0,61,29,41,41.4,Matches
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0,Matches
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6,Matches
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8,Matches
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,5,3,0,29,6,0,2,32,49,0,1,1,248,60,36,62.5,Matches
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0,Matches
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,5,0,0,30,8,1,9,27,25,0,0,0,84,31,18,63.3,Matches
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0,Matches
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9,Matches
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6,Matches
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8,Matches
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,3,0,0,15,14,1,39,18,9,0,0,0,80,12,14,46.2,Matches
38,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,20,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0,Matches
39,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4,Matches
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0,Matches
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.1,Matches
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0,Matches
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5,Matches
