Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27,Matches
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,71,68,3,0,0,0,7,2,1,0,1,0,51,0,1,Matches
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,29,22,7,3,0,1,0,4,0,0,0,0,23,0,0,Matches
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,2031,1882,142,116,0,30,5,10,0,0,0,0,1679,7,20,Matches
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,1257,1193,60,20,8,6,35,16,10,3,1,0,1043,4,22,Matches
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,1981,1927,45,43,5,5,10,2,0,0,0,0,1819,9,15,Matches
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,1483,1431,49,47,10,8,6,1,1,0,0,0,1308,3,14,Matches
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,195,194,0,0,0,1,5,0,0,0,0,0,115,1,2,Matches
10,Matthis Abline,FRA,"FW,MF",Auxerre,Ligue 1,19,2003,9.0,105,91,13,0,0,2,6,0,0,0,0,0,69,1,3,Matches
11,Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,19,2003,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1,Matches
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15,Matches
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,777,744,28,1,1,1,29,22,1,0,0,0,576,5,46,Matches
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,513,475,35,2,4,3,11,1,0,0,0,0,342,3,8,Matches
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,1644,1546,93,41,1,10,22,21,0,0,0,0,1455,5,4,Matches
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,21,20,1,0,0,0,1,0,1,0,1,0,18,0,0,Matches
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25,Matches
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17,Matches
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24,Matches
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,179,159,19,0,1,1,13,6,0,0,0,0,123,1,8,Matches
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,1300,1235,58,47,2,12,2,7,0,0,0,0,1066,7,10,Matches
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,41,38,3,1,0,0,0,1,1,0,0,0,29,0,1,Matches
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,457,431,23,3,2,1,25,12,8,7,1,0,335,3,21,Matches
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,565,535,23,4,3,2,18,5,8,2,2,0,427,7,19,Matches
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,76,72,4,1,0,1,6,1,2,0,2,0,49,0,5,Matches
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,674,641,30,10,0,3,21,13,4,1,3,0,557,3,16,Matches
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,193,185,8,2,0,1,4,5,0,0,0,0,146,0,4,Matches
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,1493,1433,56,50,7,18,2,4,0,0,0,0,1281,4,11,Matches
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,241,169,72,10,0,0,0,0,0,0,0,0,171,0,0,Matches
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,744,720,21,15,3,8,9,2,4,3,0,0,619,3,12,Matches
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2,Matches
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,1142,1040,95,50,3,39,57,5,35,3,24,0,930,7,17,Matches
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,735,711,17,2,5,1,34,7,5,3,2,0,531,7,39,Matches
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,763,723,36,29,0,21,0,0,0,0,0,0,599,4,5,Matches
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,847,696,149,18,0,3,39,131,0,0,0,0,696,2,22,Matches
38,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,20,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0,Matches
39,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,15.5,529,514,13,4,2,1,6,5,0,0,0,0,449,2,13,Matches
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,592,576,16,13,3,6,5,1,0,0,0,0,447,0,11,Matches
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,1766,1710,51,42,0,5,2,8,0,0,0,0,1525,5,13,Matches
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,544,432,108,8,0,3,35,97,3,0,0,0,402,4,17,Matches
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,578,487,89,5,0,2,21,81,3,1,2,0,470,2,18,Matches
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,817,715,100,24,1,6,4,67,0,0,0,0,646,2,13,Matches
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8,Matches
47,Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,8.6,255,242,10,1,3,3,0,0,0,0,0,0,178,3,1,Matches
48,Ludovic Ajorque,FRA,"FW,MF",Mainz 05,Bundesliga,28,1994,13.5,415,398,14,1,1,5,4,2,0,0,0,0,243,3,11,Matches
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,2056,1999,55,28,0,8,6,27,0,0,0,0,1912,2,8,Matches
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,1813,1685,126,35,1,6,15,91,0,0,0,0,1639,2,26,Matches
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,1061,824,230,25,3,13,70,205,0,0,0,0,821,7,20,Matches
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,168,161,5,1,0,0,10,3,1,1,0,0,130,2,6,Matches
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5.0,174,168,4,2,1,2,0,2,0,0,0,0,160,2,3,Matches
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,406,396,9,7,1,3,11,2,0,0,0,0,302,1,20,Matches
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,1024,966,56,30,1,14,8,26,0,0,0,0,814,2,18,Matches
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,1189,1082,98,45,4,3,26,46,3,3,0,0,1042,9,11,Matches
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0,Matches
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,85,80,5,0,0,0,0,0,0,0,0,0,56,0,1,Matches
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,1460,1277,178,40,4,8,91,137,1,0,0,0,1217,5,24,Matches
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,1988,1732,246,81,14,7,147,7,117,55,49,0,1640,10,30,Matches
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,1472,1428,42,34,0,15,1,0,0,0,0,0,1303,2,7,Matches
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10,Matches
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22,Matches
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,290,279,9,1,2,4,4,1,0,0,0,0,222,2,10,Matches
