Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,95,3.598484848,57,17,7,5,8,1,7,0.265151515,3,1,0,1,1,1
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,8,4.210526316,4,1,0,2,1,0,2,1.052631579,1,0,0,1,0,0
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,43,1.162162162,34,0,2,5,0,2,7,0.189189189,4,0,2,1,0,0
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,69,2.911392405,59,4,3,1,0,2,3,0.126582278,3,0,0,0,0,0
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,50,1.552795031,43,0,2,2,2,1,1,0.031055901,1,0,0,0,0,0
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26,33,1.269230769,27,2,2,1,0,1,1,0.038461538,1,0,0,0,0,0
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,9,1.363636364,8,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes",Ligue 1,19,2003,10.2,22,2.156862745,10,0,5,3,3,1,5,0.490196078,1,0,1,0,1,1
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,8,1.194029851,5,1,1,1,0,0,1,0.149253731,1,0,0,0,0,0
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,80,2.909090909,44,1,10,13,10,2,8,0.290909091,4,0,1,2,1,0
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,70,2.880658436,46,0,7,10,7,0,9,0.37037037,4,0,1,3,1,0
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,37,1.375464684,34,1,0,2,0,0,1,0.037174721,1,0,0,0,0,0
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,65,3.066037736,45,14,3,3,0,0,4,0.188679245,4,0,0,0,0,0
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,57,2.57918552,44,1,2,5,5,0,7,0.316742081,5,0,0,0,2,0
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24,43,1.791666667,42,0,0,0,1,0,1,0.041666667,1,0,0,0,0,0
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,22,3.055555556,16,0,0,6,0,0,3,0.416666667,1,0,0,2,0,0
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,18,0.775862069,15,0,0,3,0,0,0,0,0,0,0,0,0,0
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,2,1.666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,59,3.831168831,40,0,8,5,4,2,12,0.779220779,9,0,2,1,0,0
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,56,3.522012579,36,3,4,4,8,1,11,0.691823899,6,0,3,0,2,0
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,3,1.875,2,1,0,0,0,0,1,0.625,1,0,0,0,0,0
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,35,2.046783626,25,3,2,2,2,1,3,0.175438596,1,0,0,1,1,0
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,15,1.648351648,10,0,1,4,0,0,1,0.10989011,0,0,0,1,0,0
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,31,1.169811321,26,1,0,4,0,0,3,0.113207547,2,0,0,1,0,0
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,27,2.213114754,23,3,0,1,0,0,1,0.081967213,1,0,0,0,0,0
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21,76,3.619047619,56,13,3,0,4,0,4,0.19047619,2,2,0,0,0,0
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,59,2.489451477,41,1,9,4,4,0,3,0.126582278,2,0,0,0,1,0
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,14,0.790960452,12,1,0,1,0,0,0,0,0,0,0,0,0,0
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,18,1.384615385,14,1,0,1,1,1,2,0.153846154,2,0,0,0,0,0
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,40,2.424242424,32,0,3,3,1,1,7,0.424242424,7,0,0,0,0,0
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,28,1.944444444,21,1,0,1,2,3,2,0.138888889,2,0,0,0,0,0
42,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,10,0.288184438,8,0,0,1,0,1,0,0,0,0,0,0,0,0
43,Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,27,2.783505155,21,2,3,0,1,0,3,0.309278351,2,0,1,0,0,0
44,Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12,23,1.916666667,14,2,4,1,2,0,0,0,0,0,0,0,0,0
45,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,11,0.597826087,11,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,4,0.470588235,4,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Ludovic Ajorque,FRA,FW,"Strasbourg,Mainz 05","Ligue 1,Bundesliga",28,1994,22.1,56,2.533936652,46,0,0,7,3,0,5,0.226244344,3,0,0,1,0,0
49,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,23,0.905511811,22,0,0,1,0,0,0,0,0,0,0,0,0,0
50,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,24,1.153846154,20,1,0,2,0,1,2,0.096153846,2,0,0,0,0,0
51,Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,36,1.411764706,29,1,1,3,0,2,3,0.117647059,2,0,1,0,0,0
52,Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5,2,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
55,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,28,1.854304636,18,0,3,2,2,3,5,0.331125828,3,0,1,1,0,0
56,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,17,0.783410138,14,0,3,0,0,0,1,0.046082949,1,0,0,0,0,0
57,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,27,1.323529412,23,3,0,1,0,0,4,0.196078431,3,0,0,1,0,0
58,Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,4,1.6,2,1,0,0,1,0,0,0,0,0,0,0,0,0
60,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,8,2.162162162,6,0,1,1,0,0,2,0.540540541,1,0,0,1,0,0
61,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,59,3.734177215,52,5,1,1,0,0,6,0.379746835,5,1,0,0,0,0
62,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,115,4.243542435,80,30,0,4,0,1,15,0.553505535,13,2,0,0,0,0
63,Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,12,0.510638298,12,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,7,2.692307692,5,2,0,0,0,0,0,0,0,0,0,0,0,0
65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,41,2.949640288,33,0,3,1,1,3,2,0.143884892,2,0,0,0,0,0
66,Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,22,1.929824561,14,0,2,3,2,1,4,0.350877193,3,0,0,1,0,0
67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,47,2.070484581,34,9,1,1,2,0,2,0.088105727,2,0,0,0,0,0
68,Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,24,1.057268722,22,0,0,2,0,0,3,0.13215859,3,0,0,0,0,0
69,Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,14.6,40,2.739726027,27,3,3,5,2,0,0,0,0,0,0,0,0,0
70,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,1,0.222222222,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,23.5,44,1.872340426,30,2,1,2,9,0,4,0.170212766,4,0,0,0,0,0
72,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,124,3.815384615,81,34,3,5,1,0,17,0.523076923,14,2,1,0,0,0
73,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,16,1.26984127,13,0,1,2,0,0,1,0.079365079,1,0,0,0,0,0
75,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,6.5,19,2.923076923,12,1,2,2,1,1,2,0.307692308,2,0,0,0,0,0
76,Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,2,8,4,7,0,1,0,0,0,1,0.5,1,0,0,0,0,0
77,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37,3,0.081081081,3,0,0,0,0,0,2,0.054054054,2,0,0,0,0,0
78,Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,48,1.927710843,39,1,3,2,3,0,2,0.080321285,1,0,0,1,0,0
79,Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,91,3.226950355,67,17,1,1,2,3,5,0.177304965,3,2,0,0,0,0
81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,87,3.140794224,63,2,10,9,3,0,13,0.469314079,5,1,5,2,0,0
82,Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13,14,1.076923077,13,0,0,1,0,0,1,0.076923077,1,0,0,0,0,0
83,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,19,1.258278146,15,1,1,1,0,1,0,0,0,0,0,0,0,0
84,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,8,3.076923077,6,1,0,0,0,1,1,0.384615385,1,0,0,0,0,0
85,Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,16,0.958083832,9,5,0,1,0,1,1,0.05988024,1,0,0,0,0,0
87,Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,52,3.190184049,39,0,6,5,2,0,5,0.306748466,2,0,1,1,1,0
88,Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,9,2.195121951,3,0,2,3,1,0,2,0.487804878,1,0,0,1,0,0
