Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA_p90,SoTA,Saves,Savep,W,D,L,CS,CSp,PKatt,PKA,PKsv,PKm,PKSp
1,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,1,0,13,0.1,0,0.00,3,3,100.00,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!
2,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,8,7,675,7.5,6,0.80,19,13,68.42,1,3,3,2,28.57,0,0,0,0,#DIV/0!
3,Do?an Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,6,4,406,4.5,8,1.78,16,7,43.75,2,0,2,1,25.00,2,1,1,0,50.00
4,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37,37,3330,37,43,1.16,147,105,71.43,19,9,9,14,37.84,4,2,1,1,33.33
5,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,5,2,309,3.4,7,2.06,16,9,56.25,0,1,1,1,50.00,2,2,0,0,0.00
6,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,29,29,2565,28.5,33,1.16,120,90,75.00,8,9,12,9,31.03,1,1,0,0,0.00
7,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10,10,900,10,21,2.10,51,30,58.82,2,2,6,1,10.00,1,1,0,0,0.00
8,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25,25,2250,25,39,1.56,121,82,67.77,2,6,17,4,16.00,7,5,2,0,28.57
9,Édgar Badía,ESP,GK,Elche,La Liga,30,1992,36,36,3240,36,63,1.75,200,136,68.00,5,10,21,4,11.11,10,7,3,0,30.00
10,Francesco Bardi,ITA,GK,Bologna,Serie A,30,1992,1,1,90,1,0,0.00,4,4,100.00,1,0,0,1,100.00,0,0,0,0,#DIV/0!
11,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32,1990,34,34,3060,34,57,1.68,161,105,65.22,10,6,18,5,14.71,3,2,0,1,0.00
12,Gavin Bazunu,IRL,GK,Southampton,Premier League,20,2002,32,32,2880,32,56,1.75,120,67,55.83,6,6,20,4,12.50,2,1,1,0,50.00
13,Asmir Begovi?,BIH,GK,Everton,Premier League,35,1987,1,1,90,1,0,0.00,4,4,100.00,1,0,0,1,100.00,0,0,0,0,#DIV/0!
14,Daniel Bentley,ENG,GK,Wolves,Premier League,29,1993,2,2,180,2,3,1.50,13,10,76.92,0,1,1,0,0.00,0,0,0,0,#DIV/0!
15,Paul Bernardoni,FRA,GK,Angers,Ligue 1,25,1997,27,27,2430,27,62,2.30,143,84,58.74,1,5,21,3,11.11,9,8,0,1,0.00
16,Marco Bizot,NED,GK,Brest,Ligue 1,31,1991,37,37,3330,37,54,1.46,176,122,69.32,11,10,16,8,21.62,9,7,2,0,22.22
17,Rubén Blanco,ESP,GK,Marseille,Ligue 1,27,1995,6,6,495,5.5,6,1.09,19,15,78.95,1,3,2,0,0.00,0,0,0,0,#DIV/0!
18,Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,1991,26,26,2340,26,29,1.12,75,45,60.00,16,4,6,7,26.92,7,6,1,0,14.29
19,Joaquín Blázquez,ARG,GK,Brest,Ligue 1,21,2001,1,1,90,1,0,0.00,3,3,100.00,0,1,0,1,100.00,0,0,0,0,#DIV/0!
20,Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,25,25,2151,23.9,41,1.72,106,66,62.26,7,6,12,4,16.00,3,2,1,0,33.33
21,Claudio Bravo,CHI,GK,Betis,La Liga,39,1983,12,12,1080,12,9,0.75,42,33,78.57,5,5,2,4,33.33,1,1,0,0,0.00
22,Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,27,1995,15,15,1350,15,23,1.53,59,37,62.71,4,5,6,1,6.67,5,5,0,0,0.00
23,Marcin Bu?ka,POL,GK,Nice,Ligue 1,22,1999,2,2,180,2,2,1.00,6,4,66.67,0,1,1,0,0.00,0,0,0,0,#DIV/0!
24,Juan Carlos,ESP,GK,Girona,La Liga,34,1988,10,10,900,10,18,1.80,43,25,58.14,2,2,6,0,0.00,2,2,0,0,0.00
25,Marco Carnesecchi,ITA,GK,Cremonese,Serie A,22,2000,27,27,2430,27,47,1.74,153,107,69.93,4,9,14,4,14.81,2,2,0,0,0.00
26,Matis Carvalho,POR,GK,Montpellier,Ligue 1,23,1999,2,1,136,1.5,3,2.00,8,5,62.50,0,0,1,1,100.00,0,0,0,0,#DIV/0!
27,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,30,1992,34,34,3060,34,48,1.41,147,101,68.71,13,10,11,12,35.29,7,4,1,2,20.00
28,Michele Cerofolini,ITA,GK,Fiorentina,Serie A,23,1999,5,5,450,5,3,0.60,11,8,72.73,4,1,0,2,40.00,1,1,0,0,0.00
29,Lucas Chevalier,FRA,GK,Lille,Ligue 1,20,2001,32,32,2880,32,31,0.97,105,76,72.38,16,9,7,10,31.25,3,2,1,0,33.33
30,Oliver Christensen,DEN,GK,Hertha BSC,Bundesliga,23,1999,33,33,2970,33,68,2.06,163,94,57.67,6,8,19,3,9.09,6,5,1,0,16.67
31,Andrea Consigli,ITA,GK,Sassuolo,Serie A,35,1987,35,35,3150,35,55,1.57,117,64,54.70,12,8,15,9,25.71,3,3,0,0,0.00
32,Alex Cordaz,ITA,GK,Inter,Serie A,39,1983,1,0,26,0.3,0,0.00,2,2,100.00,0,0,0,1,#DIV/0!,0,0,0,0,#DIV/0!
33,Benoît Costil,FRA,GK,Auxerre,Ligue 1,35,1987,19,19,1710,19,41,2.16,96,55,57.29,3,4,12,2,10.53,3,3,0,0,0.00
34,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,31,31,2790,31,29,0.94,118,88,74.58,20,5,6,10,32.26,5,4,1,0,20.00
35,Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1,1,90,1,3,3.00,5,2,40.00,0,0,1,0,0.00,0,0,0,0,#DIV/0!
36,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,8,8,720,8,16,2.00,44,26,59.09,3,2,3,0,0.00,3,1,2,0,66.67
37,Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1,1,90,1,1,1.00,6,5,83.33,0,1,0,0,0.00,0,0,0,0,#DIV/0!
38,Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37,37,3330,37,49,1.32,167,119,71.26,14,10,13,10,27.03,3,3,0,0,0.00
39,Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29,1993,37,37,3330,37,47,1.27,161,110,68.32,17,8,12,10,27.03,12,8,4,0,33.33
40,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,28,1993,37,37,3324,36.9,49,1.33,139,94,67.63,13,10,14,9,24.32,5,4,0,1,0.00
41,Yehvann Diouf,FRA,GK,Reims,Ligue 1,22,1999,31,31,2790,31,31,1.00,137,107,78.10,11,12,8,14,45.16,1,1,0,0,0.00
42,Ouparine Djoco,GNB,GK,Clermont Foot,Ligue 1,24,1998,1,1,90,1,2,2.00,3,1,33.33,0,0,1,0,0.00,0,0,0,0,#DIV/0!
43,Marko Dmitrovi?,SRB,GK,Sevilla,La Liga,30,1992,15,13,1269,14.1,13,0.92,55,43,78.18,6,4,3,5,38.46,0,0,0,0,#DIV/0!
