Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG-GA,PSxG-GA_p90,LCmp,LAtt,LCmp%,PaAtt,PaThr,PaAvgLen,GKAtt,GKLp,GKAvgLen,COpp,CStp,CStpp,SwOPA,SwOPA_p90,SwAvgDist
1,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0,0,0.1,0.04,0.1,1.0,1,2,50.0,7,3,25.7,1,0.0,24.0,1,0,0.0,2,13.85,33.0
2,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,6,0,0,0,0,5.5,0.3,-0.5,-0.06,37,101,36.63,179,33,30.5,62,77.4,55.4,96,11,11.46,10,1.33,15.4
3,Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,8,1,0,2,0,6.5,0.29,-1.5,-0.32,23,67,34.33,109,14,33.0,35,71.4,51.4,75,5,6.67,5,1.11,14.8
4,Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,43,2,0,0,2,51.1,0.33,10.1,0.27,116,283,40.99,1256,210,26.9,193,26.9,31.3,397,23,5.79,89,2.41,19.8
5,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,7,2,0,1,0,7.3,0.33,0.3,0.09,14,37,37.84,61,14,33.4,30,43.3,33.0,47,2,4.26,1,0.29,10.3
6,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,33,1,1,4,3,35.0,0.29,5.0,0.18,68,213,31.92,864,151,26.3,182,35.7,31.5,332,15,4.52,52,1.82,16.9
7,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10.0,21,1,1,0,0,16.8,0.31,-4.2,-0.42,58,162,35.8,260,46,35.8,92,66.3,51.2,166,5,3.01,17,1.7,16.1
8,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25.0,39,5,0,4,2,32.3,0.21,-4.7,-0.19,159,441,36.05,714,104,39.1,200,57.0,44.2,356,24,6.74,23,0.92,13.9
9,Édgar Badía,ESP,GK,Elche,La Liga,30,1992,36.0,63,7,0,4,2,69.5,0.31,8.5,0.24,191,422,45.26,772,166,34.2,296,54.4,41.7,574,21,3.66,20,0.56,12.7
10,Francesco Bardi,ITA,GK,Bologna,Serie A,30,1992,1.0,0,0,0,0,0,0.6,0.16,0.6,0.56,5,9,55.56,13,5,35.6,9,44.4,33.4,10,0,0.0,0,0.0,0.0
11,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32,1990,34.0,57,2,1,11,1,50.4,0.31,-5.6,-0.16,206,525,39.24,1164,168,33.6,249,45.8,39.3,529,43,8.13,43,1.26,13.4
12,Gavin Bazunu,IRL,GK,Southampton,Premier League,20,2002,32.0,56,1,1,7,4,35.4,0.28,-16.6,-0.52,212,629,33.7,935,144,38.1,237,67.5,50.0,456,36,7.89,48,1.5,15.1
13,Asmir Begović,BIH,GK,Everton,Premier League,35,1987,1.0,0,0,0,0,0,0.5,0.12,0.5,0.49,4,13,30.77,22,5,34.9,8,62.5,46.8,23,1,4.35,0,0.0,5.0
14,Daniel Bentley,ENG,GK,Wolves,Premier League,29,1993,2.0,3,0,0,0,0,3.9,0.3,0.9,0.44,10,29,34.48,57,14,32.9,23,30.4,32.2,37,5,13.51,1,0.5,8.3
15,Paul Bernardoni,FRA,GK,Angers,Ligue 1,25,1997,27.0,62,8,1,6,3,51.4,0.31,-7.6,-0.28,94,291,32.3,479,124,34.6,185,55.1,42.6,357,21,5.88,18,0.67,11.4
16,Marco Bizot,NED,GK,Brest,Ligue 1,31,1991,37.0,54,7,1,11,2,54.9,0.26,2.9,0.08,198,477,41.51,806,163,35.5,289,58.5,43.9,520,30,5.77,25,0.68,11.6
17,Rubén Blanco,ESP,GK,Marseille,Ligue 1,27,1995,5.5,6,0,0,1,2,3.9,0.2,-0.1,-0.02,11,47,23.4,165,31,27.4,41,31.7,32.1,73,3,4.11,7,1.27,17.9
18,Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,1991,26.0,29,6,0,2,0,26.9,0.27,-2.1,-0.08,59,189,31.22,985,126,25.3,156,26.9,30.0,288,20,6.94,39,1.5,17.0
19,Joaquín Blázquez,ARG,GK,Brest,Ligue 1,21,2001,1.0,0,0,0,0,0,0.2,0.06,0.2,0.17,8,13,61.54,18,3,45.7,11,18.2,26.3,11,2,18.18,0,0.0,3.5
20,Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,23.9,41,2,1,3,2,37.3,0.34,-1.7,-0.07,115,303,37.95,785,92,30.9,162,51.9,42.1,308,20,6.49,39,1.63,17.4
21,Claudio Bravo,CHI,GK,Betis,La Liga,39,1983,12.0,9,1,0,1,0,11.0,0.24,2.0,0.17,75,225,33.33,288,42,39.6,101,75.2,52.5,213,4,1.88,6,0.5,12.1
22,Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,27,1995,15.0,23,5,0,3,1,20.1,0.26,-1.9,-0.13,55,129,42.64,503,86,27.6,91,29.7,33.5,203,12,5.91,15,1.0,15.2
23,Marcin Bułka,POL,GK,Nice,Ligue 1,22,1999,2.0,2,0,0,0,0,3.1,0.52,1.1,0.56,8,20,40.0,49,11,28.1,18,55.6,44.2,26,2,7.69,3,1.5,13.8
24,Juan Carlos,ESP,GK,Girona,La Liga,34,1988,10.0,18,2,2,1,0,16.7,0.35,-1.3,-0.13,23,64,35.94,278,51,28.7,62,24.2,30.3,120,6,5.0,21,2.1,16.9
25,Marco Carnesecchi,ITA,GK,Cremonese,Serie A,22,2000,27.0,47,2,3,7,1,44.2,0.28,-1.8,-0.07,157,523,30.02,745,135,41.4,203,66.0,53.1,402,29,7.21,29,1.07,14.1
26,Matis Carvalho,POR,GK,Montpellier,Ligue 1,23,1999,1.5,3,0,0,0,0,1.9,0.24,-1.1,-0.7,14,43,32.56,38,4,49.4,14,92.9,61.4,38,2,5.26,0,0.0,8.3
27,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,30,1992,34.0,48,4,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.71,1326,183,33.7,258,57.0,47.5,489,29,5.93,51,1.5,16.5
28,Michele Cerofolini,ITA,GK,Fiorentina,Serie A,23,1999,5.0,3,1,0,0,0,3.4,0.22,0.4,0.09,24,70,34.29,167,27,33.3,28,42.9,38.1,29,1,3.45,3,0.6,13.8
29,Lucas Chevalier,FRA,GK,Lille,Ligue 1,20,2001,32.0,31,2,2,1,3,30.5,0.27,2.5,0.08,76,282,26.95,903,121,29.4,105,42.9,37.2,317,22,6.94,25,0.78,13.5
30,Oliver Christensen,DEN,GK,Hertha BSC,Bundesliga,23,1999,33.0,68,5,4,8,0,57.9,0.33,-10.1,-0.31,204,586,34.81,977,166,35.9,235,72.8,54.3,486,33,6.79,70,2.12,18.8
31,Andrea Consigli,ITA,GK,Sassuolo,Serie A,35,1987,35.0,55,3,0,5,2,38.5,0.31,-14.5,-0.41,176,436,40.37,1140,187,33.3,285,31.2,32.5,467,28,6.0,28,0.8,14.2
32,Alex Cordaz,ITA,GK,Inter,Serie A,39,1983,0.3,0,0,0,0,0,0.5,0.26,0.5,1.77,1,7,14.29,15,3,33.5,5,60.0,52.0,7,0,0.0,0,0.0,0.0
33,Benoît Costil,FRA,GK,Auxerre,Ligue 1,35,1987,19.0,41,3,0,3,0,34.0,0.33,-7.0,-0.37,132,292,45.21,454,72,36.8,137,74.5,51.7,285,3,1.05,11,0.58,13.1
34,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,31.0,29,4,0,1,0,29.7,0.22,0.7,0.02,83,214,38.79,982,194,27.7,152,21.7,29.5,366,32,8.74,40,1.29,15.4
35,Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1.0,3,0,0,0,0,1.7,0.35,-1.3,-1.33,2,4,50.0,25,4,22.6,6,16.7,33.3,7,0,0.0,2,2.0,25.7
36,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24,1998,8.0,16,1,0,3,0,13.5,0.25,-2.5,-0.32,48,139,34.53,226,38,36.6,54,77.8,54.5,158,17,10.76,8,1.0,13.8
37,Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1.0,1,0,0,0,0,1.5,0.25,0.5,0.48,5,9,55.56,20,9,33.2,6,66.7,46.5,11,1,9.09,0,0.0,7.0
38,Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37.0,49,3,1,4,1,48.7,0.28,0.7,0.02,166,476,34.87,1265,236,32.2,247,37.2,34.9,541,14,2.59,32,0.86,13.4
39,Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29,1993,37.0,47,8,0,5,0,55.4,0.28,8.4,0.23,235,601,39.1,1209,173,37.0,255,45.9,40.4,464,34,7.33,25,0.68,11.5
40,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,28,1993,36.9,49,4,0,9,4,44.2,0.3,-0.8,-0.02,152,537,28.31,816,199,38.6,299,56.9,46.7,500,24,4.8,52,1.41,16.1
41,Yehvann Diouf,FRA,GK,Reims,Ligue 1,22,1999,31.0,31,1,2,2,1,37.0,0.27,7.0,0.22,136,308,44.16,874,191,31.8,185,33.0,34.3,430,40,9.3,35,1.13,12.7
42,Ouparine Djoco,GNB,GK,Clermont Foot,Ligue 1,24,1998,1.0,2,0,0,0,0,1.0,0.34,-1.0,-0.97,3,17,17.65,30,4,33.6,10,50.0,31.7,14,1,7.14,5,5.0,21.3
43,Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,1992,14.1,13,0,0,2,1,12.2,0.23,0.2,0.02,103,326,31.6,372,44,44.0,131,84.0,62.4,216,12,5.56,10,0.71,12.2
44,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,37.9,40,2,1,3,1,43.3,0.26,4.3,0.11,54,148,36.49,728,167,23.9,207,18.8,24.1,436,33,7.57,27,0.71,12.1
45,Bartłomiej Drągowski,POL,GK,Spezia,Serie A,24,1997,32.7,54,4,1,7,3,46.1,0.25,-4.9,-0.15,151,482,31.33,975,159,34.6,196,58.7,46.5,472,13,2.75,32,0.98,14.1
46,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,33,1989,1.7,1,0,0,0,1,1.9,0.21,1.9,1.07,6,10,60.0,39,14,20.7,15,40.0,35.3,30,1,3.33,0,0.0,12.4
47,Maxime Dupé,FRA,GK,Toulouse,Ligue 1,29,1993,38.0,57,4,2,8,3,54.2,0.28,0.2,0.01,136,363,37.47,1006,176,29.5,264,44.7,37.2,517,30,5.8,21,0.55,10.1
48,Ederson,BRA,GK,Manchester City,Premier League,28,1993,35.0,32,3,1,4,1,26.2,0.3,-4.8,-0.14,117,263,44.49,1104,147,28.0,152,30.9,32.3,286,19,6.64,33,0.94,15.7
49,Tjark Ernst,GER,GK,Hertha BSC,Bundesliga,19,2003,1.0,1,0,0,0,0,2.5,0.36,1.5,1.52,5,13,38.46,22,6,31.2,13,53.8,43.1,18,0,0.0,0,0.0,3.5
50,Łukasz Fabiański,POL,GK,West Ham,Premier League,37,1985,34.6,48,2,0,3,1,45.9,0.28,-1.1,-0.03,198,516,38.37,677,153,39.3,249,59.8,44.8,513,29,5.65,25,0.72,13.0
51,Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,33,1988,11.4,13,1,0,1,1,12.4,0.21,0.4,0.04,99,217,45.62,358,50,36.8,83,67.5,48.9,162,11,6.79,9,0.79,11.6
52,Wladimiro Falcone,ITA,GK,Lecce,Serie A,27,1995,38.0,46,5,2,6,3,43.2,0.24,0.2,0.01,194,721,26.91,876,143,42.1,282,79.1,53.5,534,23,4.31,42,1.11,14.1
53,Aitor Fernández,ESP,GK,Osasuna,La Liga,31,1991,21.0,19,0,0,0,1,17.7,0.24,-0.3,-0.01,191,438,43.61,615,87,41.1,174,71.8,54.2,319,14,4.39,37,1.76,16.3
54,Álvaro Fernández,ESP,GK,Espanyol,La Liga,24,1998,11.0,18,0,0,4,1,15.2,0.31,-1.8,-0.17,104,221,47.06,253,37,42.5,103,77.7,54.8,153,5,3.27,15,1.36,16.3
55,Fernando,ESP,GK,Almería,La Liga,32,1990,36.5,61,4,1,4,1,60.5,0.29,0.5,0.01,199,557,35.73,967,211,36.9,341,52.5,42.9,614,39,6.35,26,0.71,12.4
56,Vincenzo Fiorillo,ITA,GK,Salernitana,Serie A,32,1990,1.0,2,0,0,0,0,1.9,0.49,-0.1,-0.05,7,15,46.67,19,3,37.9,5,80.0,56.2,7,1,14.29,0,0.0,6.0
57,Mark Flekken,NED,GK,Freiburg,Bundesliga,29,1993,34.0,44,5,0,4,0,46.4,0.28,2.4,0.07,271,665,40.75,1231,121,37.6,231,73.6,58.0,434,32,7.37,43,1.26,15.0
58,Yahia Fofana,CIV,GK,Angers,Ligue 1,21,2000,11.0,19,1,0,3,1,16.4,0.27,-1.6,-0.14,33,125,26.4,256,70,33.6,69,50.7,41.7,143,17,11.89,9,0.82,11.8
59,Fraser Forster,ENG,GK,Tottenham,Premier League,34,1988,13.5,24,2,1,4,0,21.3,0.34,-2.7,-0.2,36,124,29.03,269,71,30.2,93,49.5,37.6,193,5,2.59,16,1.19,15.2
60,Gauthier Gallon,FRA,GK,Troyes,Ligue 1,29,1993,29.6,65,5,0,8,2,54.9,0.29,-8.1,-0.27,107,391,27.37,707,144,33.2,241,58.9,44.4,496,33,6.65,9,0.3,8.8
61,Joan García,ESP,GK,Espanyol,La Liga,21,2001,1.0,3,1,0,0,0,1.8,0.21,-1.2,-1.16,2,6,33.33,27,4,21.7,3,66.7,47.3,16,2,12.5,1,1.0,13.0
62,Paulo Gazzaniga,ARG,GK,Girona,La Liga,30,1992,28.0,37,4,0,4,0,45.3,0.33,8.3,0.3,146,400,36.5,822,141,32.4,242,59.5,47.9,477,37,7.76,38,1.36,15.1
