Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmpp,TTD,TPD,SCmp,SAtt,SCmpp,MCmp,MAtt,MCmpp,LCmp,LAtt,LCmpp,LAst,LxAG,LxA,LAxAG,LKP,LFTP,LPPA,LCrsPA,LPrgP
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,592,797,74.27854454203262,7577,2182,346,423,81.7966903073286,150,195,76.92307692307693,25,65,38.46153846153847,3,4.2,2.6,-1.2,46,47,16,4,86
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,51,71,71.8,659,109,36,38,94.73684210526315,14,23,60.86956521739131,1,6,16.666666666666664,0,0.0,0.1,0.0,1,3,0,0,6
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,23,29,79.3,375,79,14,15,93.33333333333333,6,8,75.0,2,5,40.0,0,0.0,0.0,0.0,0,0,0,0,0
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,1679,2031,82.7,32967,13407,490,571,85.81436077057793,1006,1117,90.0626678603402,155,279,55.55555555555556,2,1.0,0.9,1.0,13,155,5,0,215
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,1043,1257,83.0,18273,4649,465,536,86.75373134328358,421,494,85.22267206477733,122,169,72.18934911242604,2,2.9,2.5,-0.9,36,124,26,8,151
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,1819,1981,91.8,28679,7020,897,964,93.04979253112033,769,811,94.82120838471023,92,117,78.63247863247864,1,1.6,2.3,-0.6,17,182,17,3,165
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,1308,1483,88.2,22287,7579,593,640,92.65625,562,617,91.08589951377634,111,160,69.375,1,1.3,1.1,-0.3,14,144,11,0,143
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,115,195,59.0,1943,930,58,85,68.23529411764706,41,71,57.74647887323944,13,27,48.148148148148145,0,0.4,0.3,-0.4,6,17,3,2,15
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes",Ligue 1,19,2003,10.2,76,120,112.4,1316,265,27,42,64.28571428571429,38,48,79.16666666666666,6,12,50.0,1,1.0,0.5,0.0,7,8,4,1,10
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,252,351,71.8,3886,1578,130,149,87.24832214765101,94,134,70.1492537313433,16,42,38.095238095238095,0,0.1,0.5,-0.1,2,18,3,1,16
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,576,777,74.1,7539,1994,373,447,83.44519015659955,158,208,75.96153846153845,12,29,41.37931034482759,5,3.3,2.8,1.7,22,30,22,4,72
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,342,513,66.7,4964,1248,198,260,76.15384615384615,102,163,62.57668711656442,24,36,66.66666666666666,3,3.6,2.8,-0.6,33,18,17,2,54
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,9,9,100.0,129,4,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,1455,1644,88.5,27034,8090,545,594,91.75084175084174,737,802,91.89526184538653,149,202,73.76237623762376,2,1.1,1.2,0.9,16,86,14,3,100
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,18,21,85.7,274,76,7,7,100.0,10,12,83.33333333333334,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,3
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,970,1307,74.2,18018,6997,446,499,89.37875751503006,380,491,77.39307535641548,128,260,49.23076923076923,2,4.3,5.7,-2.3,38,71,38,19,102
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,330,498,66.3,4651,1042,205,278,73.7410071942446,78,118,66.10169491525424,26,37,70.27027027027027,3,2.8,2.2,0.2,24,21,11,2,34
21,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.48396501457727,390,460,84.78260869565217,63,107,58.87850467289719,0,1.4,1.0,-1.4,24,110,13,0,136
22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,123,179,68.7,2000,527,61,76,80.26315789473685,48,64,75.0,10,16,62.5,2,0.8,1.4,1.2,8,7,11,2,24
23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,1066,1300,82.0,22623,8478,265,307,86.31921824104235,653,735,88.843537414966,136,223,60.98654708520179,0,0.4,0.5,-0.4,6,96,7,0,95
24,Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,29,41,70.7,390,93,12,18,66.66666666666666,11,14,78.57142857142857,1,3,33.33333333333333,0,0.0,0.0,0.0,0,2,0,0,3
25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,335,457,73.3,4409,1278,197,243,81.06995884773663,97,125,77.60000000000001,13,27,48.148148148148145,5,3.7,3.7,1.3,28,17,25,0,47
26,Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,427,565,75.6,5845,1373,240,296,81.08108108108108,138,166,83.13253012048193,18,34,52.94117647058824,3,1.7,1.9,1.3,20,26,10,0,49
27,Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,49,76,64.5,931,308,21,28,75.0,17,24,70.83333333333334,9,16,56.25,0,0.3,0.2,-0.3,2,6,2,0,10
28,Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,557,674,82.6,8050,2143,312,343,90.96209912536443,189,223,84.75336322869956,27,51,52.94117647058824,0,0.6,0.5,-0.6,15,37,7,1,46
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,146,193,75.6,1855,194,99,115,86.08695652173914,34,46,73.91304347826086,4,7,57.14285714285714,0,0.1,0.2,-0.1,3,3,0,0,8
30,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,1281,1493,85.8,27077,9413,360,413,87.16707021791767,705,764,92.27748691099477,202,284,71.12676056338029,3,2.4,1.7,0.6,13,112,15,1,131
31,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,171,241,71.0,4890,3600,29,29,100.0,91,94,96.80851063829788,51,118,43.22033898305085,0,0.0,0.0,0.0,0,2,0,0,0
32,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,619,744,83.2,10977,3466,254,295,86.10169491525423,285,322,88.50931677018633,60,89,67.41573033707866,1,1.1,1.0,-0.1,12,62,15,2,93
33,Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.33333333333333,0,0.1,0.1,-0.1,1,1,1,0,2
34,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,930,1142,81.4,18906,5096,359,404,88.86138613861387,371,429,86.48018648018649,174,246,70.73170731707317,2,2.2,2.0,-0.2,35,111,11,2,139
35,Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,531,735,72.2,7885,2631,295,349,84.5272206303725,173,226,76.54867256637168,30,54,55.55555555555556,1,3.0,2.6,-2.0,28,58,31,2,110
36,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,599,763,78.5,12203,5332,224,244,91.80327868852459,287,335,85.67164179104478,82,169,48.5207100591716,0,0.5,0.3,-0.5,6,37,4,0,25
37,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,696,847,82.2,10933,4515,352,394,89.34010152284264,291,343,84.8396501457726,36,68,52.94117647058824,0,0.9,1.2,-0.9,3,72,11,5,102
38,Naouirou Ahamada,FRA,"MF,FW","Crystal Palace,Stuttgart","Premier League,Bundesliga",20,2002,16.5,486,575,165.3,7515,1830,242,265,91.32075471698113,202,221,91.4027149321267,22,43,51.162790697674424,2,1.3,0.9,0.7000000000000001,16,41,7,2,58
40,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,6,10,60.0,79,18,3,5,60.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
