Player,Unnamed: 1,Position
Brenden Aaronson,,Attacking Midfield
Paxten Aaronson,,Attacking Midfield
James Abankwah,,Centre-Back
George Abbott,,"['Series([], Name: TmPos, dtype: object)']"
Yunis Abdelhamid,,Centre-Back
Himad Abdelli,,Attacking Midfield
Salis Abdul Samed,,Defensive Midfield
Laurent Abergel,,Defensive Midfield
Oliver Abildgaard,,Defensive Midfield
Matthis Abline,,Centre-Forward
Abner,,Left-Back
Zakaria Aboukhlal,,Right Winger
Tammy Abraham,,Centre-Forward
Christian Acella,,Central Midfield
Francesco Acerbi,,Centre-Back
Álvaro Aceves,,Goalkeeper
Mohamed Achi,,Central Midfield
Marcos Acuña,,Left-Back
Che Adams,,Centre-Forward
Tyler Adams,,Defensive Midfield
Sargis Adamyan,,Centre-Forward
Tosin Adarabioyo,,Centre-Back
Martin Adeline,,Central Midfield
Karim Adeyemi,,Centre-Forward
Amine Adli,,Right Winger
Yacine Adli,,Attacking Midfield
Michel Aebischer,,Central Midfield
Felix Afena-Gyan,,Centre-Forward
Emmanuel Agbadou,,Centre-Back
Julen Agirrezabala,,Goalkeeper
Lucien Agoume,,Defensive Midfield
Felix Agu,,Right-Back
Álvaro Aguado,,Central Midfield
Kevin Agudelo,,Right Winger
Nayef Aguerd,,Centre-Back
Ruben Aguilar,,Right-Back
Naouirou Ahamada,,Defensive Midfield
Amar Ahmed,,Left Winger
Jean-Eudes Aholou,,Defensive Midfield
Joseph Aidoo,,Centre-Back
Ola Aina,,Right-Back
Rayan Aït Nouri,,Left-Back
Emanuel Aiwum,,Centre-Back
Kristoffer Ajer,,Centre-Back
Ludovic Ajorque,,Centre-Forward
Manuel Akanji,,Centre-Back
Nathan Aké,,Centre-Back
Sergio Akieme,,Left-Back
Babatunde Akinsola,,"['Series([], Name: TmPos, dtype: object)']"
Maghnes Akliouche,,Attacking Midfield
Paul Akouokou,,Defensive Midfield
Jean-Daniel Akpa-Akpro,,Central Midfield
Kevin Akpoguma,,Centre-Back
David Alaba,,Centre-Back
Ángel Alarcón,,Left Winger
Tomás Alarcón,,Defensive Midfield
Lucas Alario,,Centre-Forward
Jordi Alba,,Left-Back
Luis Alberto,,Central Midfield
Raúl Albiol,,Centre-Back
Marc Albrighton,,Right Winger
Thiago Alcántara,,Central Midfield
Carlos Alcaraz,,Central Midfield
Rubén Alcaraz,,Central Midfield
Omar Alderete,,Centre-Back
Iván Alejo,,Right Winger
Doğan Alemdar,,Goalkeeper
Carles Aleñá,,Central Midfield
Trent Alexander-Arnold,,Right-Back
Alejandro Alfaro,,Central Midfield
Ángel Algobia,,Central Midfield
Mohamed Ali Cho,,Centre-Forward
Faride Alidou,,Left Winger
Alisson,,Goalkeeper
Jim Allevinah,,Left Winger
Dele Alli,,Attacking Midfield
Domingos André Ribeiro Almeida,,Central Midfield
Miguel Almirón,,Right Winger
Marcos Alonso,,Left-Back
Mickaël Alphonse,,Right-Back
Éder Álvarez Balanta,,Defensive Midfield
Carlos Álvarez,,"['Series([], Name: TmPos, dtype: object)']"
Gastón Álvarez,,Centre-Back
Julián Álvarez,,Centre-Forward
Agustín Álvarez Martínez,,Centre-Forward
Yeray Álvarez,,Centre-Back
Ibrahim Amadou,,Defensive Midfield
Selim Amallah,,Attacking Midfield
Daniel Amartey,,Centre-Back
Amath,,Left Winger
Jordan Amavi,,Left-Back
Lukáš Ambros,,Attacking Midfield
Kelvin Amian,,Right-Back
Bruno Amione,,Centre-Back
Nadiem Amiri,,Central Midfield
Samuel Amo-Ameyaw,,"['Series([], Name: TmPos, dtype: object)']"
Ethan Ampadu,,Centre-Back
Sofyan Amrabat,,Defensive Midfield
Ayoub Amraoui,,Left-Back
Joachim Andersen,,Centre-Back
Elliot Anderson,,Attacking Midfield
Felipe Anderson,,Right Winger
Benjamin André,,Defensive Midfield
Marcos André,,Centre-Forward
Komnen Andrić,,Centre-Forward
Robert Andrich,,Central Midfield
Angeliño,,Left-Back
Fabrizio Angileri,,Left-Back
Jaidon Anthony,,Left Winger
Janis Antiste,,Centre-Forward
Waldemar Anton,,Centre-Back
Josep Antoni Gayá,,Centre-Back
José Antonio,,Left Winger
Marcos Antônio,,Central Midfield
Michail Antonio,,Centre-Forward
Antony,,Right Winger
Valentin Antov,,Centre-Back
Christopher Antwi-Adjei,,Left Winger
Anuar,,Central Midfield
Houssem Aouar,,Central Midfield
Adil Aouchiche,,Attacking Midfield
Dennis Appiah,,Right-Back
Stredair Appuah,,Left Winger
Mauro Arambarri,,Central Midfield
Charles Aránguiz,,Central Midfield
Ronald Araújo,,Centre-Back
Cameron Archer,,Centre-Forward
Taïryk Arconte,,Right Winger
Alphonse Areola,,Goalkeeper
Adu Ares,,Left Winger
Joe Aribo,,Central Midfield
Adam Armstrong,,Centre-Forward
Stuart Armstrong,,Central Midfield
Marko Arnautović,,Centre-Forward
Maximilian Arnold,,Central Midfield
Mohamed El Arouch,,Central Midfield
Sergio Arribas,,Right Winger
Kepa Arrizabalaga,,Goalkeeper
Roberto Arroyo,,Centre-Forward
Tolgay Arslan,,Central Midfield
Ricard Artero,,Attacking Midfield
Arthur,,Centre-Forward
Santiago Arzamendia,,Left-Back
Takuma Asano,,Right Winger
Santiago Ascacíbar,,Defensive Midfield
Sergio Asenjo,,Goalkeeper
Marco Asensio,,Right Winger
Kristoffer Askildsen,,Central Midfield
Fisnik Asllani,,Centre-Forward
Kristjan Asllani,,Defensive Midfield
Iago Aspas,,Centre-Forward
Lorenz Assignon,,Right-Back
Youcef Atal,,Right-Back
Valentin Atangana Edoa,,Defensive Midfield
