Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SGls,SSh,SSoT,SSoTp,SSh_p90,SSoT_90,SG_Sh,SG_SoT,SFK,SPK,SPKatt,xG,npxG,npxG/Sh,G-xG,npG-xG,SDist
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,1,41,9,21.951219512195124,1.5530303030303032,0.34090909090909094,0.024390243902439025,0.1111111111111111,18.4,2,0,0,3.9,3.9,0.0951219512195122,-2.9,-2.9
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,0,4,1,25.0,2.1052631578947367,0.5263157894736842,0.0,0.0,18.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,1,32,3,9.375,0.8648648648648649,0.08108108108108109,0.03,0.33,15.0,0,0,0,2.4,2.4,0.075,-1.4,-1.4
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,2,24,7,29.166666666666668,1.0126582278481013,0.29535864978902954,0.08,0.29,22.4,2,0,0,1.4,1.4,0.05833333333333333,0.6,0.6
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,1,13,4,30.76923076923077,0.40372670807453415,0.12422360248447203,0.08,0.25,19.1,0,0,0,0.9,0.9,0.06923076923076923,0.1,0.1
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,0,13,2,15.384615384615385,0.5,0.07692307692307693,0.0,0.0,24.0,0,0,0,0.5,0.5,0.038461538461538464,-0.5,-0.5
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,0,3,2,66.66666666666666,0.4545454545454546,0.30303030303030304,0.0,0.0,14.0,0,0,0,0.1,0.1,0.03333333333333333,-0.1,-0.1
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes","Ligue 1,Ligue 1",19,2003,10.2,3,30,10,66.66666666666666,2.9411764705882355,0.9803921568627452,0.21000000000000002,0.63,16.4,0,1,2,4.4,2.8,0.09333333333333332,-1.4000000000000001,-0.8
12,Abner,BRA,DF,Betis,La Liga,22,2000,6.7,0,5,1,20.0,0.7462686567164178,0.14925373134328357,0.0,0.0,13.6,0,0,0,1.7,1.7,0.33999999999999997,-1.7,-1.7
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,10,83,30,36.144578313253014,3.018181818181818,1.0909090909090908,0.12,0.33,15.9,0,0,0,11.5,11.5,0.13855421686746988,-1.5,-1.5
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,8,62,28,45.16129032258064,2.551440329218107,1.1522633744855966,0.13,0.29,12.0,0,0,0,10.8,10.8,0.17419354838709677,-2.8,-2.8
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,0,18,2,11.11111111111111,0.6691449814126395,0.07434944237918216,0.0,0.0,15.9,0,0,0,1.0,1.0,0.05555555555555555,-1.0,-1.0
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,0.0,0.0
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,0,1,0,0.0,2.5,0.0,0.0,0.0,26.1,0,0,0,0.1,0.1,0.1,-0.1,-0.1
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,3,21,5,23.809523809523807,0.9905660377358491,0.2358490566037736,0.14,0.6,25.6,1,0,0,1.2,1.2,0.05714285714285714,1.8,1.8
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,5,47,14,29.78723404255319,2.1266968325791855,0.6334841628959276,0.11,0.36,13.8,0,0,0,6.6,6.6,0.1404255319148936,-1.6,-1.6
