Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GA,npg,PK,PKatt,CrdY,CrdR,xG,NPxG,xAG,NPxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,GA_p90,npg_p90,npG+A_p90,xG_p90,xAG_p90,xG+xAG_p90,NPxG_p90,NPxG+xAG_p90,
1,Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151,0.037878788,0.113636364,0.151515152,0.037878788,0.151515152,0.147727273,0.159090909,0.306818182,0.147727273,0.306818182,Matches
2,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,8,6,15,0,0,0,0,0,0.105263158,0,0.105263158,0.105263158,0.105263158,Matches
3,James Abankwah,IRL,DF,Udinese,Serie A,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,George Abbott,ENG,MF,Tottenham,Premier League,16,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Matches
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37,37,3330,37,1,2,3,1,0,0,6,0,2.4,2.4,1,3.4,40,215,10,0.027027027,0.054054054,0.081081081,0.027027027,0.081081081,0.064864865,0.027027027,0.091891892,0.064864865,0.091891892,Matches
6,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58,151,111,0.084388186,0.084388186,0.168776371,0.084388186,0.168776371,0.05907173,0.122362869,0.181434599,0.05907173,0.181434599,Matches
7,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33,165,44,0.031055901,0.031055901,0.062111801,0.031055901,0.062111801,0.027950311,0.049689441,0.077639752,0.027950311,0.077639752,Matches
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,29,28,2342,26,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13,143,14,0,0.038461538,0.038461538,0,0.038461538,0.019230769,0.05,0.069230769,0.019230769,0.069230769,Matches
9,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2,15,8,0,0,0,0,0,0.015151515,0.060606061,0.075757576,0.015151515,0.090909091,Matches
10,Matthis Abline,FRA,"FW,MF","Auxerre,Rennes","Ligue 1,Ligue 1",19,2003,30,8,913,10.2,3,1,4,2,1,2,1,0,4.4,2.8,1,3.7,18,10,60,0.294117647,0.098039216,0.392156863,0.196078431,0.294117647,0.431372549,0.098039216,0.529411765,0.274509804,0.362745098,Matches
12,Abner,BRA,DF,Betis,La Liga,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0,0,0,0,0,0.253731343,0.014925373,0.268656716,0.253731343,0.268656716,Matches
13,Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276,0.363636364,0.181818182,0.545454545,0.363636364,0.545454545,0.418181818,0.12,0.538181818,0.418181818,0.534545455,Matches
14,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,38,24,2189,24.3,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35,54,141,0.329218107,0.12345679,0.452674897,0.329218107,0.452674897,0.444444444,0.148148148,0.592592593,0.444444444,0.596707819,Matches
15,Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,31,25,2425,26.9,0,2,2,0,0,0,4,0,1,1,1.1,2.1,39,100,32,0,0.074349442,0.074349442,0,0.074349442,0.037174721,0.040892193,0.078066914,0.037174721,0.078066914,Matches
17,Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,2,3,1,0,0,0,0,0,0.25,0,0.25,0.25,0.5,Matches
19,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,30,21,1912,21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94,0.141509434,0.094339623,0.235849057,0.141509434,0.235849057,0.056603774,0.202830189,0.259433962,0.056603774,0.259433962,Matches
20,Che Adams,SCO,FW,Southampton,Premier League,26,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17,34,115,0.226244344,0.135746606,0.36199095,0.226244344,0.36199095,0.298642534,0.126696833,0.425339367,0.298642534,0.425339367,Matches
